"","Word","List","ValMn","ValSD","AroMn","AroSD"
"114","deficient",4,3.36,"1.65",4.26,"1.65"
"115","pity",1,3.37,"1.57",3.72,"1.57"
"116","grime",3,3.37,"1.34",3.98,"1.34"
"117","boring",5,3.38,"2.54",2.29,"2.54"
"118","dummy",2,3.38,"1.70",4.35,"1.70"
"119","cheapskate",6,3.39,"1.82",4.01,"1.82"
"120","immature",4,3.39,"1.70",4.15,"1.70"
"121","smoke",6,3.39,"3.02",4.48,"3.02"
"122","stale",5,3.41,"1.55",3.24,"1.55"
"123","doubtful",4,3.41,"1.18",4.28,"1.18"
"124","stain",1,3.42,"1.54",4.54,"1.54"
"125","fault",3,3.43,"1.38",4.07,"1.38"
"126","crutch",2,3.43,"1.62",4.14,"1.62"
"127","con",3,3.43,"1.74",4.28,"1.74"
"128","doubt",2,3.43,"1.97",4.5,"1.97"
"129","end",5,3.44,"1.64",4.44,"1.64"
"130","cough",4,3.45,"1.41",4.37,"1.41"
"131","cancel",1,3.46,"1.36",4.31,"1.36"
"132","itch",6,3.46,"1.56",4.58,"1.56"
"133","resign",3,3.47,"1.63",4.21,"1.63"
"134","uninteresting",2,3.5,"1.59",2.69,"1.59"
"135","frail",6,3.5,"1.58",3.56,"1.58"
"136","grovel",4,3.5,"1.77",4.46,"1.77"
"137","mediocre",5,3.52,"1.52",3.92,"1.52"
"138","blubber",1,3.52,"1.99",4.57,"1.99"
"139","dull",2,3.53,"1.56",2.76,"1.56"
"140","spit",4,3.54,"1.51",3.99,"1.51"
"141","forgot",1,3.54,"1.68",4.39,"1.68"
"142","prohibit",5,3.54,"1.47",4.43,"1.47"
"143","foolish",6,3.54,"1.79",4.46,"1.79"
"144","incorrect",3,3.54,"1.50",4.56,"1.50"
"145","mold",1,3.55,"1.70",4.07,"1.70"
"146","bleak",6,3.57,"1.68",3.37,"1.68"
"147","greedy",2,3.58,"1.74",4.56,"1.74"
"148","dishes",3,3.63,"1.56",4.06,"1.56"
"149","depart",5,3.63,"2.39",4.37,"2.39"
"150","egotistical",4,3.64,"1.85",4.45,"1.85"
"151","overcast",4,3.65,"1.61",3.46,"1.61"
"152","lame",2,3.66,"1.82",3.69,"1.82"
"153","scapegoat",5,3.67,"1.65",4.53,"1.65"
"154","prude",3,3.68,"1.55",4.05,"1.55"
"155","damp",1,3.68,"1.56",4.07,"1.56"
"156","chubby",6,3.68,"2.02",4.26,"2.02"
"157","piss",4,3.68,"1.93",4.42,"1.93"
"158","confuse",6,3.69,"1.41",4.24,"1.41"
"159","refuse",1,3.69,"1.61",4.44,"1.61"
"160","heavy",3,3.69,"1.38",4.58,"1.38"
"161","rag",5,3.7,"1.51",3.7,"1.51"
"162","ail",2,3.7,"1.73",4.59,"1.73"
"163","shallow",6,3.71,"1.67",3.44,"1.67"
"164","limp",4,3.71,"1.88",4.29,"1.88"
"165","tick",3,3.72,"1.56",4.14,"1.56"
"166","void",2,3.73,"1.63",3.92,"1.63"
"167","gnaw",5,3.73,"1.80",4.4,"1.80"
"168","false",1,3.74,"2.03",4.4,"2.03"
"169","noose",5,3.76,"1.64",4.39,"1.64"
"170","resent",1,3.76,"1.90",4.47,"1.90"
"171","cynical",2,3.76,"1.86",4.58,"1.86"
"172","chump",4,3.77,"1.81",4.18,"1.81"
"173","bald",6,3.78,"1.83",4.26,"1.83"
"174","senseless",3,3.78,"1.78",4.34,"1.78"
"175","weary",3,3.79,"2.12",3.81,"2.12"
"176","nameless",5,3.79,"1.67",3.97,"1.67"
"177","warden",6,3.79,"1.68",4.24,"1.68"
"178","separate",1,3.79,"1.60",4.59,"1.60"
"179","numb",2,3.8,"1.66",3.55,"1.66"
"180","period",4,3.8,"1.65",4.3,"1.65"
"181","hinder",4,3.81,"1.42",4.12,"1.42"
"182","melancholy",5,3.82,"2.04",3.6,"2.04"
"183","cell",6,3.82,"1.70",4.08,"1.70"
"184","condescension",3,3.83,"1.62",4.18,"1.62"
