ID,Word,List,ValMn,ValSD,AroMn,AroSD
207,dollar,3,7.47,1.72,6.07,1.72
212,applause,3,7.5,1.5,5.8,1.5
221,dog,3,7.57,1.66,5.76,1.66
223,money,3,7.59,1.4,5.7,1.4
232,blessings,3,7.63,1.7,5.42,1.7
236,generosity,3,7.65,1.5,5.72,1.5
244,riches,3,7.7,1.95,6.17,1.95
250,surprise,3,7.73,1.66,7.07,1.66
256,christmas,3,7.8,1.55,6.27,1.55
264,weekend,3,7.94,1.58,6.85,1.58
265,aroused,3,7.97,1,6.63,1
275,me,3,8.06,1.29,5.97,1.29
281,congratulations,3,8.16,1.13,6.95,1.13
285,cure,3,8.18,1.25,6.57,1.25
290,victory,3,8.32,1.16,6.63,1.16
300,loved,3,8.64,0.71,6.38,0.71
6,vodka,4,5.52,2.34,5.86,2.34
12,react,4,5.63,1,5.87,1
17,hire,4,5.77,1.67,5.63,1.67
22,teach,4,5.89,1.95,5.59,1.95
29,race,4,6.07,2,5.43,2
35,ignite,4,6.16,2.03,6.27,2.03
39,gym,4,6.21,1.87,6.14,1.87
46,reveal,4,6.29,1.98,6.32,1.98
49,engage,4,6.31,1.81,5.96,1.81
56,teenager,4,6.41,2,6.33,2
66,reunion,4,6.48,2.45,6.34,2.45
72,limousine,4,6.57,1.97,5.49,1.97
73,royalty,4,6.57,1.79,5.59,1.79
80,gem,4,6.65,1.74,5.71,1.74
87,marry,4,6.68,2.36,6.14,2.36
91,sizzle,4,6.7,1.42,5.9,1.42
98,unite,4,6.77,1.59,5.81,1.59
107,casino,4,6.81,1.66,6.51,1.66
112,mate,4,6.87,1.74,6.3,1.74
119,aid,4,6.93,1.16,5.41,1.16
123,entertainment,4,6.96,1.92,5.69,1.92
128,imagination,4,6.98,1.69,5.83,1.69
133,potential,4,7,1.83,5.93,1.83
140,hope,4,7.05,1.96,5.44,1.96
145,snow,4,7.08,1.83,5.75,1.83
152,playground,4,7.13,1.53,5.7,1.53
161,champ,4,7.18,1.97,6,1.97
167,frosting,4,7.23,1.59,5.47,1.59
171,alive,4,7.25,2.22,5.5,2.22
175,star,4,7.27,1.66,5.83,1.66
185,embrace,4,7.33,1.54,5.56,1.54
188,fascinate,4,7.34,1.68,5.83,1.68
194,genius,4,7.39,1.45,6.11,1.45
199,congratulate,4,7.42,1.49,6.11,1.49
208,surprised,4,7.47,1.56,7.47,1.56
214,flirt,4,7.52,1.19,6.91,1.19
218,holiday,4,7.55,2.14,6.59,2.14
228,excite,4,7.6,1.29,7.16,1.29
233,profit,4,7.63,1.3,6.68,1.3
237,thoughtful,4,7.65,1.03,5.72,1.03
245,rescue,4,7.7,1.24,6.53,1.24
247,compassion,4,7.73,1.39,5.47,1.39
254,pleased,4,7.79,1.75,5.68,1.75
260,party,4,7.86,1.83,6.69,1.83
267,celebration,4,7.98,1.31,7.14,1.31
272,laughing,4,8.03,1.58,6.65,1.58
280,smile,4,8.16,1.77,5.93,1.77
287,happy,4,8.21,1.82,6.49,1.82
291,comedy,4,8.37,0.94,5.85,0.94
298,laughter,4,8.45,1.08,6.75,1.08
1,preach,5,5.41,2.44,5.89,2.44
8,gorilla,5,5.56,1.95,5.52,1.95
14,mercy,5,5.71,2.41,5.43,2.41
20,seal,5,5.81,1.44,5.42,1.44
26,crazy,5,5.93,1.95,6.28,1.95
33,outspoken,5,6.14,1.81,5.58,1.81
40,comet,5,6.23,2.1,5.97,2.1
43,erect,5,6.26,2.29,6.4,2.29
53,wild,5,6.37,1.4,6.43,1.4
59,husband,5,6.44,2.36,5.49,2.36
64,elephant,5,6.48,1.72,5.59,1.72
68,surfer,5,6.55,1.86,5.45,1.86
76,belief,5,6.61,1.79,5.7,1.79
84,fair,5,6.67,1.95,5.4,1.95
86,revive,5,6.68,1.95,5.54,1.95
95,salary,5,6.75,1.76,5.85,1.76
102,vigorous,5,6.79,1.54,5.9,1.54
106,bravery,5,6.81,1.72,6,1.72
111,charming,5,6.87,1.68,5.65,1.68
120,know,5,6.93,1.72,5.77,1.72
125,reef,5,6.97,1.72,5.52,1.72
130,sparkle,5,6.99,1.65,5.51,1.65
134,waterskiing,5,7,2.19,6.77,2.19
139,fashion,5,7.04,1.73,6,1.73
146,strengthen,5,7.08,1.47,5.85,1.47
151,strong,5,7.11,1.48,5.92,1.48
159,prize,5,7.17,1.71,6.03,1.71
165,musician,5,7.21,1.52,6.1,1.52
172,suite,5,7.25,1.78,5.59,1.78
180,heaven,5,7.3,2.39,5.61,2.39
183,eager,5,7.32,1.28,6.57,1.28
191,cherish,5,7.37,1.64,5.52,1.64
193,prosper,5,7.39,1.74,5.72,1.74
201,exhilaration,5,7.43,1.48,7.2,1.48
205,redeem,5,7.47,1.28,5.43,1.28
216,cheery,5,7.55,1.49,5.99,1.49
222,amaze,5,7.57,1.41,6.9,1.41
227,beautiful,5,7.6,1.64,6.17,1.64
229,sunshine,5,7.61,1.69,5.56,1.69
240,compassionate,5,7.67,1.5,5.57,1.5
241,giggles,5,7.67,1.45,6.15,1.45
249,car,5,7.73,1.63,6.24,1.63
255,triumph,5,7.8,1.83,5.78,1.83
263,fame,5,7.93,1.29,6.55,1.29
270,sexy,5,8.02,1.12,7.36,1.12
271,beach,5,8.03,1.59,5.53,1.59
282,complete,5,8.17,1.14,5.75,1.14
286,graduate,5,8.19,1.13,7.25,1.13
293,win,5,8.38,0.92,7.72,0.92
297,award,5,8.44,1.05,7.22,1.05
4,erupt,6,5.43,1.57,6.57,1.57
10,meteor,6,5.57,2.16,5.83,2.16
18,infatuated,6,5.77,1.77,6.27,1.77
19,soldier,6,5.79,2.02,5.48,2.02
25,crush,6,5.9,2.07,6.7,2.07
32,ass,6,6.09,2.02,6,2.02
38,galaxy,6,6.21,1.26,5.96,1.26
48,cockpit,6,6.31,1.65,5.53,1.65
52,children,6,6.37,2.13,5.74,2.13
58,thin,6,6.43,1.71,5.57,1.71
61,control,6,6.46,1.35,5.93,1.35
67,windsurfers,6,6.5,1.57,6.3,1.57
77,athletics,6,6.61,2.08,6.1,2.08
79,answer,6,6.63,1.68,5.41,1.68
88,thong,6,6.69,1.99,5.78,1.99
93,invent,6,6.73,2.07,6.2,2.07
101,juice,6,6.79,1.88,5.69,1.88
103,bold,6,6.8,1.61,5.6,1.61
109,tickle,6,6.86,2.14,6.7,2.14
117,extravagant,6,6.91,1.96,5.86,1.96
126,toddler,6,6.97,1.54,5.68,1.54
127,applaud,6,6.98,1.5,5.78,1.5
137,confidence,6,7.04,1.93,5.52,1.93
142,worthwhile,6,7.06,1.82,5.71,1.82
150,song,6,7.1,1.97,6.07,1.97
156,brilliant,6,7.15,1.9,5.91,1.9
160,pastry,6,7.18,1.83,5.79,1.83
163,cupcake,6,7.2,1.85,5.93,1.85
174,king,6,7.26,1.67,5.51,1.67
177,bargain,6,7.28,1.3,5.94,1.3
181,cookout,6,7.31,1.69,6.14,1.69
192,summer,6,7.37,1.98,6.51,1.98
198,luck,6,7.41,1.46,6.45,1.46
202,elated,6,7.45,1.77,6.21,1.77
210,delight,6,7.48,1.84,6.68,1.84
215,gold,6,7.54,1.63,5.76,1.63
217,superstar,6,7.55,1.68,6.48,1.68
224,optimistic,6,7.59,1.32,5.83,1.32
234,tasty,6,7.64,1.46,5.87,1.46
239,concert,6,7.66,1.4,7.32,1.4
242,enthusiasm,6,7.67,1.52,6.55,1.52
252,fantastic,6,7.76,1.37,6.35,1.37
257,birthday,6,7.84,1.92,6.68,1.92
259,succeed,6,7.86,1.53,6.43,1.53
266,confident,6,7.98,1.29,6.22,1.29
273,passion,6,8.03,1.27,7.26,1.27
278,awesome,6,8.11,1.27,6.71,1.27
288,pleasure,6,8.28,0.92,5.74,0.92
289,success,6,8.29,0.93,6.11,0.93
296,champion,6,8.44,0.9,5.85,0.9
