word,n,A_slider.response_mean,A_slider.response_raw,A_slider.rt_mean,A_slider.rt_raw,A_slider.rt_std,A_slider.started_mean,A_slider.started_raw,A_slider.started_std,A_slider.stopped_raw,ArousalGuide.started_mean,ArousalGuide.started_raw,ArousalGuide.started_std,ArousalGuide.stopped_raw,V_slider.response_mean,V_slider.response_raw,V_slider.rt_mean,V_slider.rt_raw,V_slider.rt_std,V_slider.started_mean,V_slider.started_raw,V_slider.started_std,V_slider.stopped_raw,ValenceImage.started_mean,ValenceImage.started_raw,ValenceImage.started_std,ValenceImage.stopped_raw,WordPresentation.started_mean,WordPresentation.started_raw,WordPresentation.started_std,WordPresentation.stopped_raw,WordPresentation2.started_mean,WordPresentation2.started_raw,WordPresentation2.started_std,WordPresentation2.stopped_raw,text_2.started_mean,text_2.started_raw,text_2.started_std,text_2.stopped_raw,text_3.started_mean,text_3.started_raw,text_3.started_std,text_3.stopped_raw,order
bastard,1.0,5.672,5.672,0.9363592267036438,0.9363592267036438,0.0,21.165855407714844,21.165855407714844,0.0,,21.165855407714844,21.165855407714844,0.0,,6.4399999999999995,6.4399999999999995,2.3191745281219482,2.3191745281219482,0.0,22.117496490478516,22.117496490478516,0.0,,22.117496490478516,22.117496490478516,0.0,,21.165855407714844,21.165855407714844,0.0,,22.117496490478516,22.117496490478516,0.0,,22.117496490478516,22.117496490478516,0.0,,21.165855407714844,21.165855407714844,0.0,,2.0
run,1.0,5.277333333333333,5.277333333333333,1.9177825450897217,1.9177825450897217,0.0,24.45808982849121,24.45808982849121,0.0,,24.45808982849121,24.45808982849121,0.0,,5.474666666666667,5.474666666666667,0.8485697507858276,0.8485697507858276,0.0,26.395681381225586,26.395681381225586,0.0,,26.395681381225586,26.395681381225586,0.0,,24.45808982849121,24.45808982849121,0.0,,26.395681381225586,26.395681381225586,0.0,,26.395681381225586,26.395681381225586,0.0,,24.45808982849121,24.45808982849121,0.0,,3.0
jump,1.0,5.524444444444445,5.524444444444445,0.027807988226413727,0.027807988226413727,0.0,16.486087799072266,16.486087799072266,0.0,,16.486087799072266,16.486087799072266,0.0,,5.670222222222222,5.670222222222222,2.418302059173584,2.418302059173584,0.0,16.51978874206543,16.51978874206543,0.0,,16.51978874206543,16.51978874206543,0.0,,16.486087799072266,16.486087799072266,0.0,,16.51978874206543,16.51978874206543,0.0,,16.51978874206543,16.51978874206543,0.0,,16.486087799072266,16.486087799072266,0.0,,0.0
funny,1.0,5.501333333333333,5.501333333333333,0.8119131922721863,0.8119131922721863,0.0,18.9759578704834,18.9759578704834,0.0,,18.9759578704834,18.9759578704834,0.0,,5.488888888888889,5.488888888888889,1.3335436582565308,1.3335436582565308,0.0,19.811634063720703,19.811634063720703,0.0,,19.811634063720703,19.811634063720703,0.0,,18.9759578704834,18.9759578704834,0.0,,19.811634063720703,19.811634063720703,0.0,,19.811634063720703,19.811634063720703,0.0,,18.9759578704834,18.9759578704834,0.0,,1.0

extraInfo
ParticipantID,67
Age,23
Gender(M/F),M
date,2019_Oct_21_1136
expName,SurveyExpMetaMem
psychopyVersion,3.2.3
frameRate,60.04376566130139
