mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,A_key_resp.keys,A_key_resp.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,word,ParticipantID,date,expName,psychopyVersion,OS,frameRate
-0.052083333,-0.07421875,1,0,0,0.609375,-0.203125,1,0,0,0.22265625,-0.173177083,1,0,0,0.045572917,-0.130208333,1,0,0,8,7.52699995,8,9.70600009,1,0,1200,37,1,1199,magnificence,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,2,3.097000122,2,4.736999989,1,0,1200,399,1,1199,withdrawn,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,1,7.4150002,1,1.52300024,1,0,1200,964,1,1199,grieve,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,3,6.425000191,2,1.912000179,1,0,1200,927,1,1199,jail,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,2,4.664000034,2,2.232000113,1,0,1200,928,1,1199,cruel,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,4.649000168,6,3.537000179,1,0,1200,269,1,1199,extravagant,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,4.934000254,8,1.955000162,1,0,1200,96,1,1199,joke,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,4,4.883000135,4,1.359000206,1,0,1200,945,1,1199,demon,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,27.64700007,7,1.985000134,1,0,1200,872,1,1199,dignified,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,4,32.11500001,9,1.344000101,1,0,1200,897,1,1199,peaceful,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,3,3.357000113,3,2.296999931,1,0,1200,516,1,1199,smug,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,25.75600028,5,1.388000011,1,0,1200,466,1,1199,gnaw,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,7.931000233,2,0.975000143,1,0,1200,1003,1,1199,jealousy,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,4,4.900000095,4,1.868000031,1,0,1200,327,1,1199,misfortune,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,35.52999997,7,1.471999884,1,0,1200,828,1,1199,cooperative,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,8.003000259,6,4.303999901,1,0,1200,182,1,1199,genius,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,2,7.283000231,5,4.237999916,1,0,1200,574,1,1199,distracted,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,5.316000223,1,1.068000078,1,0,1200,940,1,1199,war,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,4.688000202,8,3.707000256,1,0,1200,168,1,1199,mate,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,2,3.835999966,2,1.927000046,1,0,1200,322,1,1199,widow,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,13.73400021,2,3.743000269,1,0,1200,958,1,1199,traitor,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,2,4.558000088,2,1.537000179,1,0,1200,1069,1,1199,defeat,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,6.51699996,6,2.885000229,1,0,1200,672,1,1199,ketchup,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,3.870000124,4,4.177999973,1,0,1200,500,1,1199,nosey,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,2,3.520000219,7,1.784000158,1,0,1200,864,1,1199,blanket,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,20.73400021,7,2.519000053,1,0,1200,1103,1,1199,mob,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,2,3.690000057,8,0.919000149,1,0,1200,703,1,1199,book,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,3.411999941,6,4.360000134,1,0,1200,718,1,1199,flow,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,9,7.173000097,7,6.821000099,1,0,1200,185,1,1199,flirt,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,2.226000071,8,2.861000061,1,0,1200,40,1,1199,kissing,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,3,5.394000053,9,1.269000053,1,0,1200,841,1,1199,bathtub,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,3,3.51699996,5,3.604000092,1,0,1200,763,1,1199,vegetables,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,2.595000029,6,6.743000031,1,0,1200,1122,1,1199,gossip,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,4.750999928,3,5.194000006,1,0,1200,1092,1,1199,rattlesnake,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,5.203000069,6,1.877000093,1,0,1200,773,1,1199,rational,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,8.413000107,5,0.69900012,1,0,1200,1167,1,1199,bribe,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,5.162000179,3,1.154000044,1,0,1200,911,1,1199,rejection,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,2.453000069,5,0.677000046,1,0,1200,735,1,1199,tea,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.758000135,5,0.242000103,1,0,1200,349,1,1199,mope,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,9.003000259,2,0.53000021,1,0,1200,919,1,1199,loss,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,5.57400012,5,0.208000183,1,0,1200,613,1,1199,cup,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,6.991000175,7,0.288000107,1,0,1200,581,1,1199,dork,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,5.611999989,4,2.744999886,1,0,1200,506,1,1199,lower,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,5.493000031,2,1.73300004,1,0,1200,935,1,1199,despise,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,4.947999954,3,1.216000319,1,0,1200,1049,1,1199,electrocute,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,9.519000053,4,3.837000132,1,0,1200,485,1,1199,pinch,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,5.23900032,5,1.700000048,1,0,1200,555,1,1199,school,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,5.461000204,3,3.149000168,1,0,1200,1095,1,1199,fright,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,3.41899991,8,0.86500001,1,0,1200,242,1,1199,triumph,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,2.025000095,3,2.072000265,1,0,1200,1005,1,1199,pissed,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,3.075999975,6,2.524000168,1,0,1200,684,1,1199,send,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,4.147000074,5,0.970000029,1,0,1200,1097,1,1199,bees,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,4.636000156,6,1.2900002,1,0,1200,847,1,1199,moon,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,22.06400013,5,0.22300005,1,0,1200,974,1,1199,roach,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,5.898000002,7,0.278000116,1,0,1200,59,1,1199,sports,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,29.3210001,4,0.447000027,1,0,1200,532,1,1199,recede,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,3.115999937,8,0.889000177,1,0,1200,155,1,1199,ignite,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,2.984999895,2,1.638000011,1,0,1200,976,1,1199,tumor,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,6.169000149,6,0.222000122,1,0,1200,261,1,1199,windsurfers,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,3.535000086,3,0.838000298,1,0,1200,1021,1,1199,attack,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,4.350000143,5,0.257999897,1,0,1200,650,1,1199,native,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,4.460000038,8,0.722000122,1,0,1200,54,1,1199,alcohol,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,7.053999901,3,2.105999947,1,0,1200,595,1,1199,vacuum,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,6.108000278,5,0.210000038,1,0,1200,654,1,1199,brief,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,5.09100008,1,0.718999863,1,0,1200,903,1,1199,cancer,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,9.436000109,5,1.089999914,1,0,1200,1093,1,1199,hive,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,1.921000004,5,0.827000141,1,0,1200,388,1,1199,mildew,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,5.080000162,2,0.753000021,1,0,1200,318,1,1199,disappointment,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,7,9.084000111,8,0.338000059,1,0,1200,138,1,1199,blessings,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,13.50500011,8,0.271000147,1,0,1200,216,1,1199,vigorous,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,9,14.58300018,9,0.573000193,1,0,1200,233,1,1199,exhilaration,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,8,4.718000174,8,1.513999939,1,0,1200,124,1,1199,honeymoon,47617,2019-10-22_23h28.12.036,SurveyExpMetaMem,3.2.3,Win32,60
