"","Subject","Confidence_Positive_1","Confidence_Positive_2","Confidence_Negative_1","Confidence_Negative_2","RT_Positive_1","RT_Positive_2","RT_Negative_1","RT_Negative_2","Accuracy_Positive_1","Accuracy_Positive_2","Accuracy_Negative_1","Accuracy_Negative_2","MetadPrime_Positive_1","MetadPrime_Positive_2","MetadPrime_Negative_1","MetadPrime_Negative_2","dPrime_Positive_1","dPrime_Positive_2","dPrime_Negative_1","dPrime_Negative_2","HR_Positive_1","HR_Positive_2","HR_Negative_1","HR_Negative_2","FAR_Positive_1","FAR_Positive_2","FAR_Negative_1","FAR_Negative_2","Mratio_Positive_1","Mratio_Positive_2","Mratio_Negative_1","Mratio_Negative_2","Reject_Positive_1","Reject_Positive_2","Reject_Negative_1","Reject_Negative_2","log_Mratio_Positive_1","log_Mratio_Positive_2","log_Mratio_Negative_1","log_Mratio_Negative_2"
"1",11113,3.96212121212121,3.78030303030303,3.29770992366412,3.38518518518519,1.79521623335313,1.65825689693156,1.92686645785579,1.84230851652683,0.712121212121212,0.75,0.702290076335878,0.711111111111111,1.77291016038168,1.5172629278363,1.25333387731192,0.971165237528382,1.10779637078802,1.39546018261224,1.07094475647559,1.09439636363196,0.639277389277389,0.656674208144796,0.631549609810479,0.649253731343284,0.278846153846154,0.286130536130536,0.3515625,0.382967032967033,1.60039354445668,1.08728500228223,1.17030674993598,0.887398085192265,0,0,0,0,0.204226790887104,0.0363433975315249,0.0682997099032777,-0.0518815127293697
"2",11114,3.63829787234043,4.06944444444444,3.34722222222222,3.36054421768708,1.58182861079695,1.48920981935225,1.53673264924146,1.57548025686992,0.730496453900709,0.791666666666667,0.833333333333333,0.707482993197279,1.24173341930293,1.83016289255357,1.21288931745385,1.53442874553909,1.23184485569687,1.60264154695194,1.90852862374362,1.11377902209678,0.64010989010989,0.725961538461538,0.707799145299145,0.645641025641026,0.313487881981033,0.272869022869023,0.327962577962578,0.323804573804574,1.00802744238475,1.14196645908397,0.635510152881409,1.37767790117865,0,0,0,0,0.00347235543692489,0.0576533483505758,-0.196877506785584,0.139147692105719
"3",11115,3.55405405405405,3.46896551724138,3.1156462585034,3.31756756756757,1.72189837243059,1.63015136087779,1.7650595761661,1.81133432524803,0.716216216216216,0.724137931034483,0.700680272108844,0.689189189189189,1.49961546825108,1.44834708472644,0.749075354666633,1.00281795190213,1.20838894726361,1.18664768246567,1.04853712560023,0.984040232480712,0.626012145748988,0.672813487881981,0.603430353430353,0.639487179487179,0.284303534303534,0.343555093555094,0.375897435897436,0.388205128205128,1.24100395956696,1.22053673228182,0.714400412134026,1.01908226798216,0,0,0,0,0.0937731671678178,0.0865508541237532,-0.146058303577123,0.0082092449372535
"4",11116,4.72108843537415,5.06164383561644,4.83108108108108,3.86577181208054,1.36286775130429,1.1312142546376,1.26370097023027,1.25176697716233,0.768707482993197,0.746575342465753,0.75,0.718120805369127,1.55051020288665,2.0139091114819,1.45730729198724,1.43601235602513,1.61458398123927,1.49587574186009,1.44237076945897,1.23269995904414,0.671282051282051,0.653326403326403,0.65956340956341,0.655897435897436,0.209459459459459,0.174116424116424,0.232287449392713,0.306174089068826,0.96031561126759,1.34630775479896,1.01035553606918,1.16493259003484,0,0,0,0,-0.0175860110172203,0.12914434735709,0.00447422544840114,0.0663007952136141
"5",11117,3.02083333333333,2.8936170212766,3.02083333333333,2.6875,1.60212104626407,1.42854040244129,1.41274748266733,1.62726790939632,0.701388888888889,0.709219858156028,0.736111111111111,0.729166666666667,0.784173510626909,1.2766458314655,0.718446857116048,1.08964239650243,1.10423377321253,1.11840439468856,1.28390028862043,1.20168822366135,0.564278187565859,0.596153846153846,0.591675447839831,0.626923076923077,0.338777660695469,0.338777660695469,0.341938883034773,0.386133603238866,0.710151717553002,1.14148856847169,0.559581506043611,0.906759652834469,0,0,0,0,-0.14864885824267,0.0574715665713052,-0.252136647210823,-0.0425078124771328
"6",11118,4.20805369127517,4.28571428571429,3.55479452054795,3.54794520547945,1.30899856472388,1.33955946165952,1.4566901044891,1.33705479878699,0.791946308724832,0.73469387755102,0.746575342465753,0.794520547945205,2.02395644870605,2.62958533498083,1.70161031815235,1.58581443444618,1.61958172568369,1.31900296079784,1.31399740332302,1.68251652079195,0.734871794871795,0.728717948717949,0.68970893970894,0.66754478398314,0.254554655870445,0.222972972972973,0.322765072765073,0.27025641025641,1.24967849205119,1.99361594563082,1.29498758053028,0.942525327299457,0,0,0,0,0.0967982953377479,0.299641498630651,0.112265603372459,-0.0257069707151601
"7",11119,5,5.06122448979592,4.53741496598639,4.33333333333333,0.851063747875742,0.860575211117975,0.951050081697758,0.95588906147168,0.808219178082192,0.843537414965986,0.768707482993197,0.775510204081633,3.09562817465606,2.92979654023857,2.56334855460935,2.31831900846987,1.72063725979523,2.04608236834016,1.60911305561977,1.81864444291417,0.795738045738046,0.840512820512821,0.731288981288981,0.693846153846154,0.179313929313929,0.211538461538462,0.191282051282051,0.176195426195426,1.79911724974761,1.43190547241522,1.59301954928334,1.27475110239527,0,0,0,0,0.255059467547374,0.155914348863259,0.202221105426859,0.105425396214311
"8",11120,4.1027397260274,4.44827586206897,4.03378378378378,4.01379310344828,1.45847667833732,1.28030583975487,1.4559646386333,1.51434594255988,0.773972602739726,0.848275862068966,0.743243243243243,0.731034482758621,1.29384231571017,1.96980334484562,1.47883598068625,1.48553116535839,1.48721485376434,2.03082008795751,1.29106242933696,1.23529695728111,0.716410256410256,0.783264033264033,0.691794871794872,0.689673340358272,0.327186512118019,0.249209694415174,0.323589743589744,0.324844074844075,0.869976730285661,0.969954628933546,1.14544110887474,1.20257008373764,0,0,0,0,-0.0604923635235489,-0.0132485800272018,0.05897276550429,0.0801103957266205
"9",11121,3.71034482758621,4.52702702702703,4.18666666666667,4.57823129251701,1.62910846920022,1.51733420719756,1.67222167151249,1.55360005440798,0.737931034482759,0.837837837837838,0.74,0.795918367346939,1.83219416390334,1.29980738430067,1.754388190347,2.05046774603785,1.25489133654405,1.94684880864977,1.26960378043665,1.67201552225543,0.722972972972973,0.737348178137652,0.700910931174089,0.773846153846154,0.347207586933614,0.259355509355509,0.308198380566802,0.285343035343035,1.46004208535631,0.667646803658139,1.38183913546919,1.22634492248727,0,0,0,0,0.16436537439717,-0.175453225830456,0.140457488302741,0.0886126372825622
"10",11122,4.60689655172414,4.83783783783784,4.5472972972973,4.13605442176871,1.29029784790509,1.37741735759209,1.41838062745524,1.36731163754575,0.786206896551724,0.77027027027027,0.763513513513513,0.73469387755102,1.71943579131356,1.86552972841661,2.05387627185741,2.05782326408361,1.61980098173485,1.46844072981943,1.41455768317778,1.23531334178712,0.690789473684211,0.713333333333333,0.7667004048583,0.706340956340956,0.21397616468039,0.241538461538462,0.29989604989605,0.28974358974359,1.06151052549184,1.2704154076726,1.45195653474053,1.66583100374077,0,0,0,0,0.0259243048047614,0.103945752263918,0.161953615672007,0.22163094072888
