Word	Wdnum	ValMn	ValSD	AroMn	AroSD	DomMn	DomSD	Length
alone	12	2.10	(1.35)	5.16	(2.62)	3.61	(2.45)	5
aloof	13	4.68	(1.93)	4.54	(2.27)	4.60	(2.1)	5
alter	1437	5.36	(1.28)	4.50	(2.59)	5.36	(0.84)	5
amaze	1438	7.86	(1.17)	7.00	(2.15)	5.71	(1.68)	5
amazement	2514	7.44	(1.68)	5.96	(2.25)	5.64	(1.95)	9
amazing	2515	8.31	(1.16)	6.45	(2.24)	6.37	(1.93)	7
ambition	14	7.88	(1.53)	5.42	(3.13)	7.50	(1.75)	8
ambitious	1439	7.69	(1.38)	6.42	(2.61)	6.67	(2.15)	9
ambulance	15	2.27	(1.54)	7.62	(1.98)	3.00	(2.23)	9
ambush	1440	3.75	(1.91)	6.20	(1.86)	3.47	(2.1)	6
amputate	2516	2.05	(1.28)	5.27	(2.78)	3.49	(2.44)	8
amuse	1441	7.81	(1.38)	6.44	(2.19)	5.69	(1.14)	5
amusement	1442	8.17	(1.27)	6.67	(2.19)	5.08	(2.07)	9
anarchy	1443	3.47	(1.73)	5.87	(2)	4.00	(2.17)	7
ancestor	1444	5.56	(1.71)	4.31	(2.09)	5.06	(1.98)	8
ancient	2517	5.31	(1.59)	3.64	(2.24)	5.16	(2.02)	7
angel	16	7.81	(1.1)	4.65	(2.59)	5.19	(2.43)	5
anger	17	2.00	(1.28)	8.22	(1.35)	5.52	(3.19)	5
angry	18	2.27	(1.51)	7.46	(2.04)	5.19	(2.68)	5
anguished	19	1.55	(0.83)	6.20	(2.8)	3.20	(2.59)	9
animal	1445	6.53	(1.73)	5.60	(1.3)	5.87	(1.51)	6
ankle	638	5.00	(1.6)	4.04	(1.86)	4.84	(1.6)	5
anniversary	2518	7.61	(1.66)	6.53	(2.34)	5.47	(2.33)	11
annoy	1446	3.45	(1.86)	6.18	(2.64)	3.91	(1.64)	5
annoyance	1447	2.43	(1.45)	5.14	(2.91)	4.21	(2.15)	9
annoying	2519	2.73	(1.53)	4.78	(2.62)	4.84	(2.48)	8
answer	639	6.32	(1.64)	5.18	(2.63)	5.64	(1.56)	6
antique	1448	6.19	(1.47)	3.69	(2.33)	4.63	(2.25)	7
anus	1449	4.00	(2)	4.18	(2.14)	5.18	(1.08)	4
anxiety	1450	1.93	(1)	7.69	(1.03)	1.54	(0.78)	7
anxious	21	4.81	(2.04)	7.00	(1.74)	5.15	(1.83)	7
apartment	1451	6.64	(0.81)	4.36	(1.63)	6.36	(1.12)	9
apathy	1452	4.29	(2.33)	3.79	(2.12)	4.50	(2.03)	6
aphrodisiac	2520	5.61	(1.80)	5.46	(2.10)	5.03	(1.81)	11
apology	1453	4.77	(2.65)	5.92	(0.79)	4.77	(2.28)	7
appall	1454	2.62	(1.89)	7.08	(2.5)	4.08	(2.53)	6
applaud	2521	7.03	(1.47)	5.94	(2.19)	5.91	(1.84)	7
applause	640	7.62	(1.6)	5.77	(2.98)	6.19	(2.23)	8
apple	1455	6.38	(1.33)	4.46	(2.4)	6.00	(1.53)	5
appliance	641	5.15	(0.49)	3.85	(1.76)	5.00	(1.03)	9
application	1456	4.20	(1.82)	6.27	(2.28)	3.67	(1.4)	11
