Word	Wdnum	ValMn	ValSD	AroMn	AroSD	DomMn	DomSD	Length
alone	12	3.07	(2.34)	4.13	(2.72)	3.87	(2.45)	5
aloof	13	5.24	(1.92)	3.88	(1.8)	4.82	(1.67)	5
alter	1437	6.13	(1.64)	5.36	(1.98)	6.57	(1.4)	5
amaze	1438	7.31	(1.58)	6.81	(1.8)	5.44	(1.63)	5
amazement	2514	7.00	(2.00)	6.23	(2.37)	5.42	(1.92)	9
amazing	2515	7.99	(1.38)	6.86	(2.05)	5.97	(1.84)	7
ambition	14	5.95	(1.99)	5.85	(2.7)	6.20	(2.26)	8
ambitious	1439	7.56	(1.36)	6.69	(2.09)	7.13	(1.78)	9
ambulance	15	3.00	(1.33)	6.60	(1.78)	3.80	(2.49)	9
ambush	1440	4.31	(1.7)	6.25	(1.18)	4.50	(1.83)	6
amputate	2516	2.29	(1.64)	6.00	(2.72)	3.80	(2.56)	8
amuse	1441	7.29	(1.38)	5.43	(2.34)	6.21	(1.42)	5
amusement	1442	7.80	(1.21)	5.87	(2.29)	6.27	(1.49)	9
anarchy	1443	3.69	(1.74)	5.13	(2.33)	3.31	(1.74)	7
ancestor	1444	5.93	(1.82)	4.21	(2.04)	4.57	(2.17)	8
ancient	2517	5.25	(1.74)	3.92	(2.23)	5.50	(1.61)	7
angel	16	6.80	(2.35)	5.30	(2.83)	4.40	(2.07)	5
anger	17	2.87	(1.25)	6.73	(2.31)	5.47	(2.23)	5
angry	18	3.87	(1.55)	6.67	(2.09)	6.21	(2.81)	5
anguished	19	2.70	(1.89)	4.45	(2.33)	3.70	(2.18)	9
animal	1445	6.43	(1.4)	5.50	(1.79)	6.14	(1.75)	6
ankle	638	5.63	(1.42)	4.53	(2.09)	4.68	(1.95)	5
anniversary	2518	7.19	(1.82)	6.38	(2.28)	5.53	(1.78)	11
annoy	1446	2.57	(1.4)	5.00	(2.32)	4.86	(2.21)	5
annoyance	1447	3.47	(1.64)	5.21	(1.97)	4.21	(1.63)	9
annoying	2519	3.21	(1.49)	4.58	(1.99)	5.15	(2.19)	8
answer	639	7.00	(1.7)	5.68	(2.21)	6.11	(2.21)	6
antique	1448	4.53	(2)	4.47	(2.2)	5.80	(1.52)	7
anus	1449	4.93	(2.09)	4.36	(2.53)	5.71	(1.54)	4
anxiety	1450	3.50	(1.67)	5.94	(2.17)	3.69	(1.89)	7
anxious	21	4.80	(1.93)	6.70	(2.06)	5.80	(1.81)	7
apartment	1451	6.93	(1.69)	5.08	(2.14)	6.92	(2.36)	9
apathy	1452	4.31	(1.62)	4.19	(2.14)	4.19	(1.28)	6
aphrodisiac	2520	5.63	(1.87)	5.32	(2.31)	5.69	(1.87)	11
apology	1453	5.19	(1.87)	4.63	(1.93)	5.75	(2.08)	7
appall	1454	4.47	(2.1)	6.00	(2.8)	5.07	(2.02)	6
applaud	2521	6.88	(1.56)	5.45	(2.41)	5.98	(1.93)	7
applause	640	7.33	(1.37)	5.83	(2.57)	6.89	(1.91)	8
apple	1455	6.44	(1.67)	3.94	(1.88)	5.75	(1.77)	5
appliance	641	5.05	(1.62)	4.23	(2.33)	5.09	(1.6)	9
application	1456	5.21	(1.31)	4.93	(2.13)	4.14	(1.88)	11
appreciate	2522	7.50	(1.25)	5.64	(2.37)	5.82	(1.66)	10
appreciation	2523	7.03	(1.93)	5.75	(2.24)	6.06	(2.12)	12
appreciative	1457	7.47	(1.19)	5.47	(2.42)	5.87	(1.92)	12
apprehension	1458	3.14	(1.83)	5.92	(2.02)	3.08	(1.32)	12
approve	2524	7.23	(1.74)	5.50	(2.28)	6.41	(2.08)	7
arbitrary	2525	4.61	(1.79)	3.66	(1.78)	4.52	(1.89)	9
arch	1459	5.42	(1.44)	4.42	(2.5)	5.00	(2.59)	4
archery	2526	5.83	(1.25)	5.44	(1.91)	5.39	(1.46)	7
area	1460	5.80	(1.52)	3.71	(2.23)	6.00	(1.75)	4
arena	1461	6.80	(1.7)	6.93	(1.71)	5.67	(2.44)	5
argue	1462	3.07	(1.49)	6.40	(2.47)	5.53	(2.56)	5
arm	642	5.50	(1.79)	4.40	(2.74)	5.05	(2.01)	3
army	23	4.90	(1.52)	4.65	(2.01)	5.20	(2.38)	4
aroma	1463	6.50	(2.04)	5.65	(2.48)	5.65	(1.53)	5
aromatic	2527	5.77	(1.82)	4.82	(2.09)	5.39	(1.78)	8
arouse	1464	7.73	(1.1)	7.27	(2.09)	6.40	(2.5)	6
aroused	24	8.00	(1.15)	6.22	(3.07)	6.10	(2.69)	7
arrogance	2528	3.85	(1.97)	5.17	(2.24)	5.68	(2.39)	9
arrogant	25	4.69	(2.8)	5.12	(2.74)	5.88	(2.53)	8
arrow	1465	5.60	(1.64)	5.67	(2.02)	5.40	(1.68)	5
arson	1466	3.07	(2.53)	6.77	(2.77)	4.23	(2.8)	5
art	643	5.70	(2.36)	4.60	(2.6)	4.75	(2.49)	3
artist	1467	5.87	(2.17)	4.67	(2.29)	5.87	(1.51)	6
artistic	2529	6.82	(1.73)	5.14	(2.33)	6.05	(2.13)	8
ash	1468	4.13	(1.86)	4.19	(2.17)	4.94	(1.73)	3
ashamed	2530	2.49	(1.26)	4.45	(2.38)	3.57	(2.13)	7
asleep	2531	6.70	(1.76)	3.36	(2.69)	4.80	(2.26)	6
asphalt	1469	5.20	(1.37)	4.07	(2.25)	5.60	(2.1)	7
aspire	1470	6.73	(1.98)	5.80	(2.01)	7.07	(1.33)	6
ass	1471	6.94	(1.39)	6.50	(2.34)	5.69	(1.99)	3
assassin	26	4.33	(2.19)	5.73	(2.74)	4.86	(2.57)	8
assault	27	2.55	(1.86)	7.17	(2.25)	5.73	(2.65)	7
asshole	2532	4.59	(2.25)	4.39	(2.00)	5.66	(1.85)	7
assume	1472	5.07	(1.33)	4.86	(0.77)	4.64	(1.91)	6
assure	1473	6.20	(0.94)	4.47	(2.26)	6.13	(1.73)	6
astonished	28	6.50	(1.55)	6.44	(2.34)	5.18	(1.94)	10
astronaut	501	6.79	(1.64)	4.92	(2.1)	5.33	(1.83)	9
athlete	1474	7.00	(2.15)	6.62	(2.47)	7.00	(1.78)	7
athletics	644	6.76	(2.05)	6.71	(2.08)	6.19	(1.99)	9
atlas	1475	5.75	(1.44)	4.50	(2.16)	5.44	(1.21)	5
atom	1476	5.13	(1.36)	4.20	(2.11)	4.27	(1.28)	4
atrocity	2533	3.15	(2.11)	5.67	(1.97)	4.56	(2.40)	8
