"","SUBJ","RT.median","Confidence_RT.median","Accuracy_in_percent","Handedness_R_1","Total_Accepted_Trials","Gender_M_1","meta_d_0_30","meta_d_0_60","meta_d_0_90","meta_d_1_30","meta_d_1_60","meta_d_1_90","d_0_30","d_0_60","d_0_90","d_1_30","d_1_60","d_1_90","criterion_0_30","criterion_0_60","criterion_0_90","criterion_1_30","criterion_1_60","criterion_1_90","mratio_0_30","mratio_0_60","mratio_0_90","mratio_1_30","mratio_1_60","mratio_1_90","Confidence.mean_0_30","Confidence.mean_0_60","Confidence.mean_0_90","Confidence.mean_1_30","Confidence.mean_1_60","Confidence.mean_1_90","Accuracy.mean_0_30","Accuracy.mean_0_60","Accuracy.mean_0_90","Accuracy.mean_1_30","Accuracy.mean_1_60","Accuracy.mean_1_90"
"17","Subject_11133.txt",1.81148959351412,1.1495,0.723404255319149,0,47,0,NA,NA,NA,NA,1.02966006082093,NA,NA,NA,NA,NA,0.772193214188685,NA,NA,NA,NA,NA,0.386096607094342,NA,NA,NA,NA,NA,1.3334228298066,NA,NA,NA,NA,NA,2.58333333333333,NA,NA,NA,NA,NA,0.645833333333333,NA
"18","Subject_11134.txt",1.52226318867179,1.3605,0.645833333333333,0,48,0,NA,NA,NA,NA,NA,1.38161381141208,NA,NA,NA,NA,NA,1.55237038518211,NA,NA,NA,NA,NA,0.165890582404722,NA,NA,NA,NA,NA,0.890002685312761,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,0.791666666666667
"19","Subject_11135.txt",1.63441867120855,1.027,0.78,0,50,0,-0.0958669571075089,NA,NA,NA,NA,NA,0.703005704050373,NA,NA,NA,NA,NA,0.206381910814412,NA,NA,NA,NA,NA,-0.136367253573009,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,0.64,NA,NA,NA,NA,NA
"20","Subject_11136.txt",1.92780315323034,1.102,0.64,0,50,0,NA,0.712003658082361,NA,NA,NA,NA,NA,0.929503898798856,NA,NA,NA,NA,NA,0.307441264789257,NA,NA,NA,NA,NA,0.766003950066742,NA,NA,NA,NA,NA,3.19148936170213,NA,NA,NA,NA,NA,0.680851063829787,NA,NA,NA,NA
"21","Subject_11137.txt",1.76369793139747,1.1155,0.680851063829787,0,47,0,NA,NA,1.03766471171663,NA,NA,NA,NA,NA,1.47558427947803,NA,NA,NA,NA,NA,-0.0633023895429342,NA,NA,NA,NA,NA,0.703222937617422,NA,NA,NA,NA,NA,3.76,NA,NA,NA,NA,NA,0.78,NA,NA,NA
"22","Subject_11139.txt",1.75979665634804,1.056,0.75,0,48,0,NA,NA,NA,0.641596669064187,NA,NA,NA,NA,NA,0.116604987356483,NA,NA,NA,NA,NA,0.61618725651784,NA,NA,NA,NA,NA,5.50230898017001,NA,NA,NA,NA,NA,2.72,NA,NA,NA,NA,NA,0.52,NA,NA
"23","Subject_11140.txt",1.86152189827408,1.108,0.625,0,48,0,NA,NA,NA,NA,1.25838236191348,NA,NA,NA,NA,NA,1.61656552519186,NA,NA,NA,NA,NA,0.133793012399847,NA,NA,NA,NA,NA,0.778429542325004,NA,NA,NA,NA,NA,3.48,NA,NA,NA,NA,NA,0.8,NA
"24","Subject_11141.txt",1.61105497075187,1.19,0.68,0,50,0,NA,NA,NA,NA,NA,1.9349623249551,NA,NA,NA,NA,NA,1.93265131125918,NA,NA,NA,NA,NA,0.291835905433507,NA,NA,NA,NA,NA,1.00119577374483,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,0.833333333333333
"25","Subject_11142.txt",1.23788074379263,1.176,0.8,1,50,0,1.0189032745052,NA,NA,NA,NA,NA,1.6478851349865,NA,NA,NA,NA,NA,0.479840104610236,NA,NA,NA,NA,NA,0.618309646026117,NA,NA,NA,NA,NA,3.18,NA,NA,NA,NA,NA,0.78,NA,NA,NA,NA,NA
"26","Subject_43336.txt",1.31915271071193,1.2245,0.673913043478261,1,46,0,NA,0.918572887596966,NA,NA,NA,NA,NA,0.606107836395521,NA,NA,NA,NA,NA,0.254830844641838,NA,NA,NA,NA,NA,1.51552715942373,NA,NA,NA,NA,NA,3.54,NA,NA,NA,NA,NA,0.62,NA,NA,NA,NA
