,Accuracy,Arousal,Confidence,Confidence_RT,Expected,KeyPressed,LearningTime,LeftWord,MarkerStart,RT,RightWord,TrialNumber,Valence,nBlock
0,1.0,Low,6.0,1.246,right,right,30.0,roof,2.0,1.9658310631202767,lamp,0.0,High,0.0
1,1.0,Low,6.0,1.335,left,left,30.0,herring,4.0,0.9225962630298454,greyhound,1.0,High,0.0
2,1.0,Low,6.0,1.398,left,left,30.0,propeller,1.0,0.8859587551414734,lad,2.0,High,0.0
3,1.0,Low,4.0,0.877,right,right,30.0,pulpit,3.0,1.3955581119807903,ceiling,3.0,High,0.0
4,1.0,Low,6.0,1.207,right,right,30.0,pan,2.0,1.0913124264625367,introductory,4.0,High,0.0
5,1.0,Low,6.0,1.054,right,right,30.0,delicate,4.0,1.2086537610157393,website,5.0,High,0.0
6,0.0,Low,3.0,1.884,left,right,30.0,flock,6.0,2.0226482971193036,cabin,6.0,High,0.0
7,1.0,Low,6.0,1.397,right,right,30.0,wear,1.0,0.9259906685038004,newspaper,7.0,High,0.0
8,1.0,Low,4.0,0.894,left,left,30.0,native,5.0,1.2434809834958287,bathroom,8.0,High,0.0
9,1.0,Low,2.0,1.001,right,right,30.0,hair,5.0,1.6502296300313901,brief,9.0,High,0.0
10,1.0,Low,3.0,0.636,right,right,30.0,cow,2.0,1.053793033977854,rock,10.0,High,0.0
11,1.0,Low,7.0,0.865,left,left,30.0,verify,5.0,1.4303779560286785,urinate,11.0,High,0.0
12,1.0,Low,7.0,0.895,left,left,30.0,fitting,5.0,0.8955629240226699,bedspread,12.0,High,0.0
13,1.0,Low,1.0,0.699,right,right,30.0,lightbulb,1.0,2.0678788061486557,fig,13.0,High,0.0
14,1.0,Low,5.0,1.103,left,left,30.0,jelly,2.0,1.207870683458168,phone,14.0,High,0.0
15,1.0,Low,4.0,1.184,left,left,30.0,key,6.0,1.8039412444777554,circle,15.0,High,0.0
16,0.0,Low,2.0,1.03,right,left,30.0,oven,4.0,1.2275262191396905,clarinet,16.0,High,0.0
17,1.0,Low,3.0,0.875,right,right,30.0,tolerant,2.0,1.4425248011975782,flute,17.0,High,0.0
