word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,introText.started,introText.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,InstructValenceText.started,InstructValenceText.stopped,Valence.started,Valence.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,InstructArousalText.started,InstructArousalText.stopped,Arousal.started,Arousal.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,WordPresentation.started,WordPresentation.stopped,rating_3.response,rating_3.rt,rating_3.started,rating_3.stopped,ArousalGuide.started,ArousalGuide.stopped,text_3.started,text_3.stopped,WordPresentation2.started,WordPresentation2.stopped,ValenceImage.started,ValenceImage.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,text_2.started,text_2.stopped,GoodbyeText.started,GoodbyeText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,13.325110181001946,None,0.08444444444444445,0.09666666666666666,1,0,0,0.00551650719717145,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,019,001,2019_Sep_27_1646,SurveyExpMetaMem,3.2.3,60.13739349942795,
,,,,,,,,,,,,,,15.245911327001522,None,0.09,0.13555555555555557,1,0,0,0.012067072893842123,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,019,001,2019_Sep_27_1646,SurveyExpMetaMem,3.2.3,60.13739349942795,
,,,,,,,,,,,,,,,,,,,,,,,16.566691732004983,None,16.566691732004983,None,0.22777777777777777,0.07,1,0,0,0.014066288902540691,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,019,001,2019_Sep_27_1646,SurveyExpMetaMem,3.2.3,60.13739349942795,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.18713094299892,None,18.18713094299892,None,0.22777777777777777,0.07,1,0,0,0.014113828889094293,None,,,,,,,,,,,,,,,,,,,,,,,019,001,2019_Sep_27_1646,SurveyExpMetaMem,3.2.3,60.13739349942795,
bastard,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.97362358099781,None,5,8.425,0.013526913680834696,None,18.97362358099781,None,18.97362358099781,None,27.41212097699463,None,27.41212097699463,None,5,2.617,0.0033598748996155336,None,27.41212097699463,None,,,019,001,2019_Sep_27_1646,SurveyExpMetaMem,3.2.3,60.13739349942795,
funny,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.05278047999309,None,6,1.429,0.0037644689000444487,None,30.05278047999309,None,30.05278047999309,None,31.50603320200753,None,31.50603320200753,None,7,0.729,0.0027193589048692957,None,31.50603320200753,None,,,019,001,2019_Sep_27_1646,SurveyExpMetaMem,3.2.3,60.13739349942795,
jump,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.25884080800461,None,7,0.688,0.013276544807013124,None,32.25884080800461,None,32.25884080800461,None,32.977143875003094,None,32.977143875003094,None,7,0.941,0.0007245888991747051,None,32.977143875003094,None,,,019,001,2019_Sep_27_1646,SurveyExpMetaMem,3.2.3,60.13739349942795,
run,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.94592705600371,None,7,0.739,0.015254157784511335,None,33.94592705600371,None,33.94592705600371,None,34.71526159999485,None,34.71526159999485,None,8,0.609,0.001042301912093535,None,34.71526159999485,None,,,019,001,2019_Sep_27_1646,SurveyExpMetaMem,3.2.3,60.13739349942795,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.33382294100011,None,,,,,,,
