word,n,A_slider.response_mean,A_slider.response_raw,A_slider.rt_mean,A_slider.rt_raw,A_slider.rt_std,A_slider.started_mean,A_slider.started_raw,A_slider.started_std,A_slider.stopped_raw,ArousalGuide.started_mean,ArousalGuide.started_raw,ArousalGuide.started_std,ArousalGuide.stopped_raw,V_slider.response_mean,V_slider.response_raw,V_slider.rt_mean,V_slider.rt_raw,V_slider.rt_std,V_slider.started_mean,V_slider.started_raw,V_slider.started_std,V_slider.stopped_raw,ValenceImage.started_mean,ValenceImage.started_raw,ValenceImage.started_std,ValenceImage.stopped_raw,WordPresentation.started_mean,WordPresentation.started_raw,WordPresentation.started_std,WordPresentation.stopped_raw,WordPresentation2.started_mean,WordPresentation2.started_raw,WordPresentation2.started_std,WordPresentation2.stopped_raw,text_2.started_mean,text_2.started_raw,text_2.started_std,text_2.stopped_raw,text_3.started_mean,text_3.started_raw,text_3.started_std,text_3.stopped_raw,order
bastard,1.0,7.3982222222222225,7.3982222222222225,2.360851526260376,2.360851526260376,0.0,16.21831512451172,16.21831512451172,0.0,,16.21831512451172,16.21831512451172,0.0,,6.397333333333333,6.397333333333333,1.4467109441757202,1.4467109441757202,0.0,18.60733413696289,18.60733413696289,0.0,,18.60733413696289,18.60733413696289,0.0,,16.21831512451172,16.21831512451172,0.0,,18.60733413696289,18.60733413696289,0.0,,18.60733413696289,18.60733413696289,0.0,,16.21831512451172,16.21831512451172,0.0,,0.0
run,1.0,6.608888888888889,6.608888888888889,0.7812220454216003,0.7812220454216003,0.0,25.626733779907227,25.626733779907227,0.0,,25.626733779907227,25.626733779907227,0.0,,6.452444444444445,6.452444444444445,0.5108709931373596,0.5108709931373596,0.0,26.445436477661133,26.445436477661133,0.0,,26.445436477661133,26.445436477661133,0.0,,25.626733779907227,25.626733779907227,0.0,,26.445436477661133,26.445436477661133,0.0,,26.445436477661133,26.445436477661133,0.0,,25.626733779907227,25.626733779907227,0.0,,3.0
jump,1.0,6.381333333333333,6.381333333333333,0.7076548933982849,0.7076548933982849,0.0,20.078092575073242,20.078092575073242,0.0,,20.078092575073242,20.078092575073242,0.0,,6.383111111111111,6.383111111111111,3.0179107189178467,3.0179107189178467,0.0,20.81389617919922,20.81389617919922,0.0,,20.81389617919922,20.81389617919922,0.0,,20.078092575073242,20.078092575073242,0.0,,20.81389617919922,20.81389617919922,0.0,,20.81389617919922,20.81389617919922,0.0,,20.078092575073242,20.078092575073242,0.0,,1.0
funny,1.0,6.429333333333333,6.429333333333333,0.6949043273925781,0.6949043273925781,0.0,23.854936599731445,23.854936599731445,0.0,,23.854936599731445,23.854936599731445,0.0,,6.653333333333333,6.653333333333333,1.0472391843795776,1.0472391843795776,0.0,24.55724334716797,24.55724334716797,0.0,,24.55724334716797,24.55724334716797,0.0,,23.854936599731445,23.854936599731445,0.0,,24.55724334716797,24.55724334716797,0.0,,24.55724334716797,24.55724334716797,0.0,,23.854936599731445,23.854936599731445,0.0,,2.0

extraInfo
ParticipantID,66
Age,45
Gender(M/F),M
date,2019_Oct_21_1137
expName,SurveyExpMetaMem
psychopyVersion,3.2.3
frameRate,60.01107876523879
