"","Word","List","ValMn","ValSD","AroMn","AroSD"
"38","obesity",5,2.73,"1.85",3.87,"1.85"
"39","chore",3,2.74,"1.38",3.52,"1.38"
"40","coward",1,2.74,"1.64",4.07,"1.64"
"41","stinky",4,2.74,"1.69",4.55,"1.69"
"42","alienation",6,2.75,"1.74",4.45,"1.74"
"43","fever",1,2.76,"1.64",4.29,"1.64"
"44","pessimistic",5,2.77,"1.75",4.03,"1.75"
"45","unfortunate",3,2.78,"1.68",4.3,"1.68"
"46","alcoholism",4,2.78,"1.98",4.55,"1.98"
"47","unpleasant",6,2.8,"1.55",4.2,"1.55"
"48","impotent",2,2.81,"1.92",4.57,"1.92"
"49","mope",1,2.85,"1.60",3.25,"1.60"
"50","inadequate",2,2.85,"1.75",4.58,"1.75"
"51","germs",5,2.86,"1.39",4.49,"1.39"
"52","negligent",6,2.87,"1.50",4.13,"1.50"
"53","blister",3,2.88,"1.75",4.1,"1.75"
"54","cowardice",4,2.9,"1.50",4.27,"1.50"
"55","graveyard",2,2.91,"1.73",4.51,"1.73"
"56","mucous",6,2.92,"1.54",4.09,"1.54"
"57","whine",3,2.92,"1.63",4.56,"1.63"
"58","waste",4,2.93,"1.76",4.14,"1.76"
"59","bored",1,2.95,"1.35",2.83,"1.35"
"60","dandruff",5,2.95,"1.80",3.33,"1.80"
"61","glum",6,2.97,"1.50",3.19,"1.50"
"62","despair",1,2.99,"1.86",4.49,"1.86"
"63","dumb",3,3,"2.15",4.24,"2.15"
"64","stink",4,3,"1.79",4.26,"1.79"
"65","discouraged",5,3,"2.16",4.53,"2.16"
"66","fatigue",2,3.04,"1.53",3.46,"1.53"
"67","pathetic",4,3.04,"1.67",4.24,"1.67"
"68","dreary",5,3.05,"1.58",2.98,"1.58"
"69","blind",6,3.05,"1.99",4.39,"1.99"
"70","cowardly",2,3.05,"1.46",4.49,"1.46"
"71","rodent",3,3.06,"1.76",4.14,"1.76"
"72","weakness",1,3.06,"1.58",4.38,"1.58"
"73","inferior",3,3.07,"1.57",3.83,"1.57"
"74","ignorance",6,3.07,"2.25",4.39,"2.25"
"75","sluggish",4,3.09,"1.47",3.12,"1.47"
"76","manure",2,3.1,"1.74",4.17,"1.74"
"77","incompetent",5,3.1,"1.78",4.59,"1.78"
"78","complain",1,3.11,"1.59",4.47,"1.59"
"79","dislike",3,3.12,"1.55",4.06,"1.55"
"80","slob",2,3.12,"1.77",4.23,"1.77"
"81","expire",1,3.13,"1.41",4.6,"1.41"
"82","sloppy",4,3.14,"1.49",4.45,"1.49"
"83","vulnerable",5,3.14,"1.71",4.53,"1.71"
"84","messy",6,3.15,"1.73",3.34,"1.73"
"85","idiot",4,3.16,"1.91",4.21,"1.91"
"86","tiresome",6,3.17,"1.60",3.12,"1.60"
"87","pale",3,3.17,"1.47",3.5,"1.47"
"88","tax",1,3.17,"1.53",3.81,"1.53"
"89","mildew",2,3.17,"1.36",4.08,"1.36"
"90","gloomy",5,3.18,"1.50",3.35,"1.50"
"91","impair",4,3.18,"1.86",4.04,"1.86"
"92","detach",3,3.19,"1.57",4.19,"1.57"
"93","moody",5,3.2,"1.58",4.18,"1.58"
"94","droop",2,3.21,"1.74",3.39,"1.74"
"95","dump",1,3.21,"1.87",4.12,"1.87"
"96","lack",6,3.21,"1.37",4.21,"1.37"
"97","unpopular",4,3.22,"1.74",4.52,"1.74"
"98","complaint",1,3.23,"1.55",4.38,"1.55"
"99","handicapped",6,3.23,"1.56",4.55,"1.56"
"100","withdrawn",3,3.24,"1.59",3.91,"1.59"
"101","urine",5,3.25,"1.71",4.2,"1.71"
"102","feeble",2,3.26,"1.47",4.1,"1.47"
"103","dismissive",3,3.27,"1.50",4.04,"1.50"
"104","wither",2,3.27,"1.60",4.04,"1.60"
"105","nuisance",1,3.27,"1.86",4.49,"1.86"
"106","fatigued",6,3.28,"1.43",2.64,"1.43"
"107","tired",5,3.28,"1.69",2.64,"1.69"
"108","handicap",4,3.29,"1.69",3.81,"1.69"
"109","bore",2,3.31,"1.72",2.94,"1.72"
"110","old",5,3.31,"1.89",3.5,"1.89"
"111","tarnish",1,3.31,"1.40",3.77,"1.40"
"112","bitter",6,3.31,"1.52",4.4,"1.52"
"113","mucus",4,3.34,"2.29",3.41,"2.29"
"114","deficient",3,3.36,"1.65",4.26,"1.65"
"115","pity",6,3.37,"1.57",3.72,"1.57"
"116","grime",1,3.37,"1.34",3.98,"1.34"
"117","boring",4,3.38,"2.54",2.29,"2.54"
"118","dummy",3,3.38,"1.70",4.35,"1.70"
"119","cheapskate",2,3.39,"1.82",4.01,"1.82"
"120","immature",5,3.39,"1.70",4.15,"1.70"
"121","smoke",3,3.39,"3.02",4.48,"3.02"
"122","stale",2,3.41,"1.55",3.24,"1.55"
"123","doubtful",4,3.41,"1.18",4.28,"1.18"
"124","stain",6,3.42,"1.54",4.54,"1.54"
"125","fault",5,3.43,"1.38",4.07,"1.38"
"126","crutch",1,3.43,"1.62",4.14,"1.62"
"127","con",6,3.43,"1.74",4.28,"1.74"
"128","doubt",1,3.43,"1.97",4.5,"1.97"
"129","end",2,3.44,"1.64",4.44,"1.64"
"130","cough",3,3.45,"1.41",4.37,"1.41"
"131","cancel",4,3.46,"1.36",4.31,"1.36"
"132","itch",5,3.46,"1.56",4.58,"1.56"
"133","resign",2,3.47,"1.63",4.21,"1.63"
"134","uninteresting",4,3.5,"1.59",2.69,"1.59"
"135","frail",5,3.5,"1.58",3.56,"1.58"
"136","grovel",1,3.5,"1.77",4.46,"1.77"
"137","mediocre",3,3.52,"1.52",3.92,"1.52"
"138","blubber",6,3.52,"1.99",4.57,"1.99"
"139","dull",6,3.53,"1.56",2.76,"1.56"
"140","spit",2,3.54,"1.51",3.99,"1.51"
"141","forgot",5,3.54,"1.68",4.39,"1.68"
"142","prohibit",3,3.54,"1.47",4.43,"1.47"
"143","foolish",1,3.54,"1.79",4.46,"1.79"
"144","incorrect",4,3.54,"1.50",4.56,"1.50"
"145","mold",5,3.55,"1.70",4.07,"1.70"
"146","bleak",4,3.57,"1.68",3.37,"1.68"
"147","greedy",1,3.58,"1.74",4.56,"1.74"
"148","dishes",3,3.63,"1.56",4.06,"1.56"
"149","depart",2,3.63,"2.39",4.37,"2.39"
"150","egotistical",6,3.64,"1.85",4.45,"1.85"
"151","overcast",4,3.65,"1.61",3.46,"1.61"
"152","lame",5,3.66,"1.82",3.69,"1.82"
"153","scapegoat",2,3.67,"1.65",4.53,"1.65"
"154","prude",3,3.68,"1.55",4.05,"1.55"
"155","damp",1,3.68,"1.56",4.07,"1.56"
"156","chubby",6,3.68,"2.02",4.26,"2.02"
"157","piss",3,3.68,"1.93",4.42,"1.93"
"158","confuse",5,3.69,"1.41",4.24,"1.41"
"159","refuse",6,3.69,"1.61",4.44,"1.61"
"160","heavy",4,3.69,"1.38",4.58,"1.38"
"161","rag",2,3.7,"1.51",3.7,"1.51"
"162","ail",1,3.7,"1.73",4.59,"1.73"
"163","shallow",5,3.71,"1.67",3.44,"1.67"
"164","limp",4,3.71,"1.88",4.29,"1.88"
"165","tick",2,3.72,"1.56",4.14,"1.56"
"166","void",6,3.73,"1.63",3.92,"1.63"
"167","gnaw",3,3.73,"1.80",4.4,"1.80"
"168","false",1,3.74,"2.03",4.4,"2.03"
"169","noose",1,3.76,"1.64",4.39,"1.64"
"170","resent",5,3.76,"1.90",4.47,"1.90"
"171","cynical",3,3.76,"1.86",4.58,"1.86"
"172","chump",4,3.77,"1.81",4.18,"1.81"
"173","bald",2,3.78,"1.83",4.26,"1.83"
"174","senseless",6,3.78,"1.78",4.34,"1.78"
"175","weary",6,3.79,"2.12",3.81,"2.12"
"176","nameless",4,3.79,"1.67",3.97,"1.67"
"177","warden",3,3.79,"1.68",4.24,"1.68"
"178","separate",2,3.79,"1.60",4.59,"1.60"
"179","numb",5,3.8,"1.66",3.55,"1.66"
"180","period",1,3.8,"1.65",4.3,"1.65"
"181","hinder",3,3.81,"1.42",4.12,"1.42"
"182","melancholy",5,3.82,"2.04",3.6,"2.04"
"183","cell",2,3.82,"1.70",4.08,"1.70"
"184","condescension",6,3.83,"1.62",4.18,"1.62"
"185","leave",4,3.83,"1.44",4.36,"1.44"
"186","pinch",1,3.83,"1.70",4.59,"1.70"
"187","fool",5,3.84,"1.86",4.48,"1.86"
"188","junk",2,3.85,"1.72",4.15,"1.72"
"189","rusty",3,3.86,"1.47",3.77,"1.47"
"190","timid",4,3.86,"1.55",4.11,"1.55"
"191","detached",6,3.86,"1.88",4.26,"1.88"
"192","meek",1,3.87,"1.69",3.8,"1.69"
"193","naive",1,3.88,"1.40",4.07,"1.40"
"194","little",2,3.89,"1.84",3.65,"1.84"
"195","butcher",3,3.89,"1.78",4.38,"1.78"
"196","dust",4,3.9,"1.89",4.1,"1.89"
"197","slow",6,3.93,"1.60",3.39,"1.60"
"198","pungent",5,3.95,"2.09",4.24,"2.09"
"199","alimony",1,3.95,"2.00",4.3,"2.00"
"200","stop",4,3.96,"1.37",4.26,"1.37"
"201","nosey",3,3.97,"1.72",4.48,"1.72"
"202","dustpan",2,3.98,"1.68",3.43,"1.68"
"203","crap",5,3.99,"1.73",4.03,"1.73"
"204","sludge",6,4,"1.77",3.8,"1.77"
"205","cane",6,4,"1.80",4.2,"1.80"
"206","exhaust",2,4,"1.66",4.27,"1.66"
"207","lower",3,4,"1.58",4.36,"1.58"
"208","smudge",1,4,"1.34",4.43,"1.34"
"209","haphazard",5,4.02,"1.41",4.07,"1.41"
"210","ash",4,4.04,"1.76",4.41,"1.76"
"211","excuse",4,4.05,"1.41",4.48,"1.41"
"212","slouch",6,4.07,"1.26",3.83,"1.26"
"213","insect",2,4.07,"2.16",4.07,"2.16"
"214","bland",1,4.1,"1.08",3.29,"1.08"
"215","defer",3,4.1,"1.54",4.48,"1.54"
"216","blues",5,4.11,"2.18",3.46,"2.18"
"217","smug",5,4.11,"1.70",3.81,"1.70"
"218","habit",4,4.11,"1.77",3.95,"1.77"
"219","report",1,4.11,"1.75",4.18,"1.75"
"220","listless",3,4.12,"1.73",4.1,"1.73"
"221","gullible",6,4.12,"1.92",4.19,"1.92"
"222","laundry",2,4.13,"1.82",3.64,"1.82"
