"","Word","List","ValMn","ValSD","AroMn","AroSD"
"190","green",3,6.18,"2.05",4.28,"2.05"
"191","binoculars",2,6.18,"1.54",4.44,"1.54"
"192","shoes",4,6.19,"1.36",4.52,"1.36"
"193","field",4,6.2,"1.37",4.08,"1.37"
"194","ducks",5,6.2,"1.56",4.34,"1.56"
"195","pun",2,6.2,"1.67",4.6,"1.67"
"196","fairy",6,6.24,"2.01",4.25,"2.01"
"197","soup",3,6.25,"1.94",4.32,"1.94"
"198","quality",1,6.25,"1.59",4.48,"1.59"
"199","rose",6,6.26,"1.75",4.59,"1.75"
"200","hamburger",3,6.27,"1.50",4.55,"1.50"
"201","crystal",5,6.28,"1.65",4.32,"1.65"
"202","authentic",1,6.29,"1.82",4.37,"1.82"
"203","noon",4,6.3,"1.54",3.65,"1.54"
"204","familiar",2,6.3,"1.71",3.92,"1.71"
"205","tidy",5,6.3,"1.56",3.98,"1.56"
"206","peach",6,6.3,"1.66",4.04,"1.66"
"207","autumn",3,6.3,"2.14",4.51,"2.14"
"208","person",2,6.32,"1.74",4.19,"1.74"
"209","boy",1,6.32,"1.60",4.58,"1.60"
"210","sanctuary",4,6.35,"2.05",3.5,"2.05"
"211","harp",2,6.37,"1.61",4.41,"1.61"
"212","quilt",6,6.38,"1.76",4.31,"1.76"
"213","walking",5,6.4,"1.83",4.34,"1.83"
"214","dress",1,6.41,"1.34",4.05,"1.34"
"215","apple",4,6.41,"1.50",4.17,"1.50"
"216","pie",3,6.41,"1.89",4.2,"1.89"
"217","countryside",3,6.42,"1.90",4.21,"1.90"
"218","priest",1,6.42,"2.00",4.41,"2.00"
"219","tale",5,6.43,"1.89",4.13,"1.89"
"220","sheep",4,6.44,"1.63",3.78,"1.63"
"221","oxygen",2,6.44,"1.92",4.38,"1.92"
"222","cottage",6,6.45,"1.52",3.39,"1.52"
"223","nourish",4,6.46,"1.69",4.29,"1.69"
"224","favor",1,6.46,"1.52",4.54,"1.52"
"225","swan",2,6.48,"2.01",3.52,"2.01"
"226","saint",3,6.49,"1.70",4.49,"1.70"
"227","simple",6,6.5,"1.55",3.73,"1.55"
"228","cooperative",5,6.5,"1.60",4.5,"1.60"
"229","innocent",4,6.51,"1.34",4.21,"1.34"
"230","pear",6,6.52,"1.65",3.96,"1.65"
"231","sofa",1,6.53,"1.50",3.1,"1.50"
"232","nice",2,6.55,"2.44",4.38,"2.44"
"233","rabbit",5,6.57,"1.92",4.02,"1.92"
"234","crown",3,6.58,"1.42",4.28,"1.42"
"235","helpful",4,6.58,"1.78",4.51,"1.78"
"236","pantry",3,6.58,"1.69",4.57,"1.69"
"237","natural",6,6.59,"1.57",4.09,"1.57"
"238","lounge",2,6.6,"1.38",3.97,"1.38"
"239","responsible",5,6.6,"1.70",4.5,"1.70"
"240","flower",1,6.64,"1.78",4,"1.78"
"241","grandmother",3,6.66,"2.08",4.43,"2.08"
"242","breathe",6,6.7,"1.57",3.74,"1.57"
"243","garden",1,6.71,"1.74",4.39,"1.74"
"244","calm",2,6.73,"1.68",3.6,"1.68"
"245","honey",5,6.73,"1.70",4.51,"1.70"
"246","dream",4,6.73,"1.75",4.53,"1.75"
"247","able",3,6.74,"2.00",4.3,"2.00"
"248","moon",2,6.74,"1.32",4.6,"1.32"
"249","graceful",5,6.75,"1.54",4.02,"1.54"
"250","blue",4,6.76,"1.78",4.31,"1.78"
"251","cool",1,6.83,"1.34",4.17,"1.34"
"252","courteous",6,6.83,"1.68",4.44,"1.68"
"253","caring",4,6.84,"1.92",4.38,"1.92"
"254","river",1,6.85,"1.69",4.51,"1.69"
"255","reliable",2,6.86,"1.73",4.02,"1.73"
"256","girl",6,6.87,"1.64",4.29,"1.64"
"257","leisurely",5,6.88,"1.81",3.8,"1.81"
"258","thankful",3,6.89,"2.29",4.34,"2.29"
"259","serene",2,6.9,"1.99",3.4,"1.99"
"260","silk",5,6.9,"1.27",3.71,"1.27"
"261","nectar",6,6.9,"1.53",3.89,"1.53"
"262","asleep",1,6.93,"1.87",3.45,"1.87"
"263","ease",3,6.93,"1.46",3.46,"1.46"
"264","blanket",4,6.94,"1.34",3.41,"1.34"
"265","bliss",4,6.95,"2.24",4.41,"2.24"
"266","fresh",5,6.95,"1.59",4.56,"1.59"
"267","grace",1,7,"1.59",4.12,"1.59"
"268","assure",6,7.04,"1.32",4.52,"1.32"
"269","safe",3,7.07,"1.90",3.86,"1.90"
"270","comfort",2,7.07,"2.14",3.93,"2.14"
"271","useful",3,7.14,"1.60",4.26,"1.60"
"272","earth",2,7.15,"1.67",4.24,"1.67"
"273","butterfly",6,7.17,"1.20",3.47,"1.20"
"274","fluffy",1,7.17,"1.56",4.57,"1.56"
"275","bless",4,7.19,"1.69",4.05,"1.69"
"276","sleep",5,7.2,"1.77",2.8,"1.77"
"277","easygoing",3,7.2,"1.50",4.3,"1.50"
"278","bunny",6,7.24,"1.32",4.06,"1.32"
"279","house",2,7.26,"1.72",4.56,"1.72"
"280","bird",5,7.27,"1.36",3.17,"1.36"
"281","protected",1,7.29,"1.79",4.09,"1.79"
"282","gentle",4,7.31,"1.30",3.21,"1.30"
"283","bath",4,7.33,"1.45",4.16,"1.45"
"284","grateful",1,7.37,"0.97",4.58,"0.97"
"285","sunflower",2,7.41,"1.34",4.3,"1.34"
"286","elegant",3,7.43,"1.26",4.53,"1.26"
"287","refreshment",5,7.44,"1.29",4.45,"1.29"
"288","daisy",6,7.48,"1.53",3.96,"1.53"
"289","bed",4,7.51,"1.38",3.61,"1.38"
"290","wise",1,7.52,"1.23",3.91,"1.23"
"291","carefree",3,7.54,"1.38",4.17,"1.38"
"292","secure",2,7.57,"1.76",3.14,"1.76"
"293","kind",6,7.59,"1.67",4.46,"1.67"
"294","peace",5,7.72,"1.75",2.95,"1.75"
"295","cuddle",6,7.72,"1.92",4.4,"1.92"
"296","kindness",4,7.82,"1.39",4.3,"1.39"
"297","relax",5,7.87,"1.70",2.47,"1.70"
"298","home",3,7.91,"1.63",4.21,"1.63"
"299","pillow",1,7.92,"1.40",2.97,"1.40"
"300","snuggle",2,7.92,"1.24",4.16,"1.24"
