"","Word","List","ValMn","ValSD","AroMn","AroSD"
"115","extravagant",3,6.91,"1.96",5.86,"1.96"
"116","special",6,6.92,"1.76",5.66,"1.76"
"117","wink",2,6.93,"1.83",5.44,"1.83"
"118","cartoon",5,6.94,"1.36",5.52,"1.36"
"119","yacht",1,6.95,"1.79",5.61,"1.79"
"120","partying",4,6.95,"2.04",6.45,"2.04"
"121","entertainment",3,6.96,"1.92",5.69,"1.92"
"122","reef",2,6.97,"1.72",5.52,"1.72"
"123","toddler",5,6.97,"1.54",5.68,"1.54"
"124","applaud",4,6.98,"1.50",5.78,"1.50"
"125","game",1,6.98,"1.97",5.89,"1.97"
"126","sparkle",6,6.99,"1.65",5.51,"1.65"
"127","spirit",4,7,"1.32",5.56,"1.32"
"128","incentive",1,7,"1.72",5.69,"1.72"
"129","champagne",6,7,"1.77",5.93,"1.77"
"130","potential",2,7,"1.83",5.93,"1.83"
"131","waterskiing",5,7,"2.19",6.77,"2.19"
"132","bouquet",3,7.02,"1.84",5.46,"1.84"
"133","attract",3,7.02,"1.77",6.42,"1.77"
"134","confidence",2,7.04,"1.93",5.52,"1.93"
"135","doughnut",4,7.04,"1.96",5.56,"1.96"
"136","ambition",6,7.04,"1.98",5.61,"1.98"
"137","hope",5,7.05,"1.96",5.44,"1.96"
"138","worthwhile",1,7.06,"1.82",5.71,"1.82"
"139","rhythm",2,7.06,"1.63",5.73,"1.63"
"140","favorite",1,7.06,"1.96",5.75,"1.96"
"141","sale",3,7.07,"1.69",6,"1.69"
"142","princess",6,7.08,"1.66",5.46,"1.66"
"143","snow",5,7.08,"1.83",5.75,"1.83"
"144","father",4,7.08,"2.20",5.92,"2.20"
"145","model",5,7.1,"1.78",6,"1.78"
"146","song",4,7.1,"1.97",6.07,"1.97"
"147","travel",6,7.1,"2.00",6.21,"2.00"
"148","lust",2,7.12,"1.62",6.88,"1.62"
"149","playground",3,7.13,"1.53",5.7,"1.53"
"150","lips",1,7.13,"1.50",6.27,"1.50"
"151","exercise",5,7.13,"1.58",6.84,"1.58"
"152","charisma",1,7.15,"1.63",5.75,"1.63"
"153","inspired",3,7.15,"1.85",6.02,"1.85"
"154","dinner",6,7.16,"1.50",5.43,"1.50"
"155","rich",4,7.17,"2.20",5.8,"2.20"
"156","cruise",2,7.17,"1.68",5.83,"1.68"
"157","pastry",6,7.18,"1.83",5.79,"1.83"
"158","champ",3,7.18,"1.97",6,"1.97"
"159","midnight",5,7.18,"1.70",6.5,"1.70"
"160","lively",1,7.2,"1.97",5.53,"1.97"
"161","cupcake",2,7.2,"1.85",5.93,"1.85"
"162","glamorous",4,7.21,"1.65",5.73,"1.65"
"163","amazement",3,7.23,"1.84",6.09,"1.84"
"164","supper",2,7.23,"1.55",6.3,"1.55"
"165","energy",1,7.23,"1.55",6.9,"1.55"
"166","praise",5,7.24,"1.88",6.28,"1.88"
"167","suite",6,7.25,"1.78",5.59,"1.78"
"168","perfection",4,7.25,"2.05",5.95,"2.05"
"169","legendary",1,7.25,"1.91",6.08,"1.91"
"170","energetic",6,7.25,"1.75",6.33,"1.75"
"171","chef",4,7.26,"1.56",5.67,"1.56"
"172","prestige",5,7.26,"1.90",5.86,"1.90"
"173","overcome",2,7.27,"1.82",5.93,"1.82"
"174","bargain",3,7.28,"1.30",5.94,"1.30"
"175","fly",2,7.29,"1.76",6.64,"1.76"
"176","heaven",4,7.3,"2.39",5.61,"2.39"
"177","circus",1,7.3,"1.84",5.97,"1.84"
"178","cookout",5,7.31,"1.69",6.14,"1.69"
"179","wit",3,7.32,"1.90",5.42,"1.90"
"180","great",6,7.32,"1.81",5.75,"1.81"
"181","embrace",1,7.33,"1.54",5.56,"1.54"
"182","wonderful",4,7.33,"1.82",5.74,"1.82"
"183","people",3,7.33,"1.70",5.94,"1.70"
"184","bride",2,7.34,"1.71",5.55,"1.71"
"185","costume",5,7.34,"1.26",6,"1.26"
"186","welcomed",6,7.36,"1.92",5.52,"1.92"
"187","summer",3,7.37,"1.98",6.51,"1.98"
"188","dance",2,7.38,"1.84",6.71,"1.84"
"189","genius",5,7.39,"1.45",6.11,"1.45"
"190","heart",4,7.39,"1.53",6.34,"1.53"
"191","jolly",1,7.41,"1.92",5.57,"1.92"
"192","silly",6,7.41,"1.80",5.88,"1.80"
"193","opportunity",6,7.41,"1.52",6.47,"1.52"
"194","congratulate",5,7.42,"1.49",6.11,"1.49"
