"","name","mean","lower","upper","d","criterion","ratingHR","ratingFAR","mratio","SUBJ","Cond","LearningTime"
"13","meta_d",1.86270818312163,0.714285069787305,2.91948394498266,2.03701543783304,-0.161253398695341,0.782051282051282,0.225752508361204,0.914430076731852,"Subject_11114.txt","A+V+",90
"131","meta_d",0.486560122284007,-0.439765431579071,1.41145995277856,0.671759493677215,0.436313467350077,0.515384615384615,0.364615384615385,0.724307027833093,"Subject_11114.txt","A+V+",30
"132","meta_d",0.996972545934116,0.0986147968921158,1.96993029590069,1.03634019101461,0.254023118681381,0.620192307692308,0.355384615384615,0.96201281642667,"Subject_11114.txt","A+V+",60
"133","meta_d",2.8867825498683,1.74193220689895,3.98346550552462,2.02535544506789,0.0144765503810565,0.851398601398601,0.178929765886288,1.4253214451311,"Subject_11114.txt","A-V+",90
"134","meta_d",0.584390130616909,-0.377437563175164,1.51830188597139,1.39050125830171,0.246825145844921,0.607988165680473,0.341715976331361,0.42027299661034,"Subject_11114.txt","A-V+",30
"135","meta_d",1.79576761246396,0.87380195763238,2.79504933129202,1.34897950039216,0,0.720414201183432,0.312130177514793,1.33120452307979,"Subject_11114.txt","A-V+",60
"136","meta_d",1.9314732905296,0.746112330115228,3.0739027115073,2.71980363628988,0.152487767922739,0.823426573426573,0.188963210702341,0.710151742117805,"Subject_11114.txt","A+V-",90
"137","meta_d",0.437862554816322,-0.613726830999906,1.37037176496391,1.23237451303568,0.0583024936782415,0.631656804733728,0.424556213017751,0.355299911013045,"Subject_11114.txt","A+V-",30
"138","meta_d",0.188080769785701,-0.796463806498923,1.29139509657243,1.88415154999155,2.22044604925031e-16,0.678994082840237,0.392011834319527,0.0998225274323313,"Subject_11114.txt","A+V-",60
"139","meta_d",1.62135057980645,0.631654165344788,2.57733594858085,1.28617823787879,0.29898665605638,0.664201183431953,0.264792899408284,1.26059556292947,"Subject_11114.txt","A-V-",90
"1310","meta_d",0.918894796077515,-0.0169908359546683,1.87648367622986,0.64608709572484,0.165732863252249,0.600961538461538,0.405448717948718,1.42224601320448,"Subject_11114.txt","A-V-",30
"1311","meta_d",1.19833901078675,0.291712347292851,2.22016867041514,1.28617823787879,0.29898665605638,0.643491124260355,0.321005917159763,0.931705245427795,"Subject_11114.txt","A-V-",60
"1312","meta_d",1.9349623249551,0.977414064075858,2.94991275684215,1.93265131125918,0.291835905433507,0.696745562130178,0.174679487179487,1.00119577374483,"Subject_11115.txt","A+V+",90
"1313","meta_d",0.641596669064187,-0.189504380337013,1.51506639184365,0.116604987356483,0.61618725651784,0.460059171597633,0.356508875739645,5.50230898017001,"Subject_11115.txt","A+V+",30
"1314","meta_d",1.25838236191348,0.268647181949137,2.25276680424504,1.61656552519186,0.133793012399847,0.711538461538462,0.329881656804734,0.778429542325004,"Subject_11115.txt","A+V+",60
"1315","meta_d",1.38161381141208,0.336603265159902,2.37173841772741,1.55237038518211,0.165890582404722,0.738782051282051,0.306213017751479,0.890002685312761,"Subject_11115.txt","A-V+",90
"1316","meta_d",1.07597758306315,0.111439045759816,2.03519597248415,1.13469512289437,-0.0429470487391459,0.658653846153846,0.355384615384615,0.948252584640136,"Subject_11115.txt","A-V+",30
"1317","meta_d",1.02966006082093,0.113501325811288,1.94802806730525,0.772193214188685,0.386096607094342,0.607692307692308,0.383076923076923,1.3334228298066,"Subject_11115.txt","A-V+",60
"1318","meta_d",1.03766471171663,-0.0195763428124657,2.04652078980221,1.47558427947803,-0.0633023895429342,0.711538461538462,0.350591715976331,0.703222937617422,"Subject_11115.txt","A+V-",90
"1319","meta_d",-0.0958669571075089,-1.04301323562487,0.768673491031646,0.703005704050373,0.206381910814412,0.492603550295858,0.412721893491124,-0.136367253573009,"Subject_11115.txt","A+V-",30
"1320","meta_d",0.712003658082361,-0.205686890934356,1.6219226052837,0.929503898798856,0.307441264789257,0.59775641025641,0.373846153846154,0.766003950066742,"Subject_11115.txt","A+V-",60
"1321","meta_d",0.927526383361578,0.0528881338026068,1.84015162148477,1.65520731510832,0.727169937042692,0.632307692307692,0.306153846153846,0.560368707227999,"Subject_11115.txt","A-V-",90
"1322","meta_d",0.486496945696938,-0.499698317900005,1.37995586495252,0.610961576198795,0,0.610769230769231,0.46,0.796280755859909,"Subject_11115.txt","A-V-",30
"1323","meta_d",0.905644633292963,-0.0192088979386344,1.87806101048759,0.901987225722614,-0.106891149978291,0.667159763313609,0.421597633136095,1.00405483300212,"Subject_11115.txt","A-V-",60
"1324","meta_d",1.72723174421989,0.773181979544489,2.72301461829039,1.91854742810006,0.615171251167014,0.670118343195266,0.161242603550296,0.900280972428382,"Subject_11116.txt","A+V+",90
"1325","meta_d",0.837352817537292,-0.0983419446154118,1.75517492535902,0.957688040732648,0.378410299854854,0.573846153846154,0.312709030100334,0.874348203092003,"Subject_11116.txt","A+V+",30
"1326","meta_d",1.97440030984315,1.00041531915405,2.99843423323779,1.97827242229957,0.314646460953702,0.75887573964497,0.187869822485207,0.998042679859069,"Subject_11116.txt","A+V+",60
"1327","meta_d",2.85169047122756,1.78202264116448,3.94435666064274,2.24893471541312,0.44997760751048,0.809171597633136,0.125739644970414,1.26801834294408,"Subject_11116.txt","A-V+",90
"1328","meta_d",1.2888112051255,0.376564189496703,2.1988051953903,0.967610268218755,0.431559953733437,0.575320512820513,0.269230769230769,1.3319527990314,"Subject_11116.txt","A-V+",30
"1329","meta_d",1.97485278645295,1.06737389511841,2.89717771642631,1.05661267040619,0.576529408759016,0.554733727810651,0.17603550295858,1.86904136375136,"Subject_11116.txt","A-V+",60
