"","name","mean","lower","upper","d","criterion","ratingHR","ratingFAR","mratio","SUBJ","Cond"
"13","meta_d",1.23706889087421,0.61833010160587,1.8225537367734,1.18429586860352,0.23447519383796,0.635180995475113,0.312567713976165,1.04456067412691,"Subject_11114.txt","A+V+"
"131","meta_d",1.80341662339434,1.16630202345566,2.44170096139767,1.59323741152846,0.100111284185212,0.725961538461538,0.275553213909378,1.13191958106498,"Subject_11114.txt","A-V+"
"132","meta_d",1.20288599184068,0.523891720603703,1.86400490030108,1.89179016275682,0.0587485223595338,0.711004273504274,0.336670179135933,0.635845357229141,"Subject_11114.txt","A+V-"
"133","meta_d",1.51858094304775,0.951005107367119,2.11601222392045,1.10031962308034,0.258138422457209,0.640852390852391,0.323804573804574,1.38012711142649,"Subject_11114.txt","A-V-"
"134","meta_d",1.50431184660828,0.921606979323941,2.11264706419242,1.20838894726361,0.354251667378982,0.626012145748988,0.284303534303534,1.24489043864129,"Subject_11115.txt","A+V+"
"135","meta_d",1.46860371915305,0.848394358862449,2.0467965877241,1.16085505393106,0.181763591818918,0.672264355362947,0.343555093555094,1.26510516035559,"Subject_11115.txt","A-V+"
"136","meta_d",0.74539175111938,0.163436154822265,1.30657903068916,1.04853712560023,0.160748215674986,0.603430353430353,0.375897435897436,0.710887323796648,"Subject_11115.txt","A+V-"
"137","meta_d",1.00284661805325,0.440707563412153,1.59227740932993,0.960112286499233,0.152494653174449,0.640852390852391,0.393451143451143,1.0445097226178,"Subject_11115.txt","A-V-"
"138","meta_d",1.53481718313544,0.946863890694828,2.15971228146342,1.64243054822628,0.444878665604466,0.673333333333333,0.209167544783983,0.934479199009627,"Subject_11116.txt","A+V+"
"139","meta_d",2.01884442869994,1.42279943732357,2.56672603667328,1.43097664127954,0.493501732931151,0.652286902286902,0.181025641025641,1.41081578165717,"Subject_11116.txt","A-V+"
"1310","meta_d",1.49778505746655,0.899221466626158,2.05255386823701,1.43447281368514,0.433112973533438,0.660425101214575,0.232287449392713,1.04413624516087,"Subject_11116.txt","A+V-"
"1311","meta_d",1.42971413230988,0.827437905225219,1.96353309566812,1.24685828239955,0.407377338702516,0.657388663967611,0.306174089068826,1.14665327446711,"Subject_11116.txt","A-V-"
"1312","meta_d",0.767367201290847,0.159217712847275,1.35251672914062,1.21277946440218,0.37999641148917,0.561997703788749,0.330985915492958,0.632734329542022,"Subject_11117.txt","A+V+"
"1313","meta_d",1.2329391750908,0.651279949982785,1.84678305947034,1.14136460702527,0.275842085776664,0.600334448160535,0.345100105374078,1.0802325282402,"Subject_11117.txt","A-V+"
"1314","meta_d",0.633228303479999,0.0473125416968499,1.2387967567626,1.34205939693334,0.194648485989707,0.59750812567714,0.346153846153846,0.47183329212325,"Subject_11117.txt","A+V-"
"1315","meta_d",1.0820327408569,0.444221768093359,1.64191057184175,1.16839445087514,0.13345301282221,0.625975473801561,0.386174636174636,0.926085141919709,"Subject_11117.txt","A-V-"
"1316","meta_d",2.0366007860468,1.38133885606948,2.62831144134487,1.63016478413997,0.161153928220787,0.73836032388664,0.254554655870445,1.24932203533108,"Subject_11118.txt","A+V+"
"1317","meta_d",2.60974440159625,2.02022624785534,3.28304369150656,1.32772217557729,0.358380299689249,0.723589743589744,0.221025641025641,1.96558018657897,"Subject_11118.txt","A-V+"
"1318","meta_d",1.68029794014589,1.06052392911814,2.27897178895157,1.32402906455313,0.126226802220921,0.686740890688259,0.324252136752137,1.26907934661767,"Subject_11118.txt","A+V-"
"1319","meta_d",1.6569994380962,1.04981763488641,2.27534967442555,1.56674321544354,0.296947733093184,0.661025641025641,0.271282051282051,1.05760754012718,"Subject_11118.txt","A-V-"
"1320","meta_d",3.11168467922085,2.50462920226366,3.79104471224011,1.66832524415737,0.0719715032942369,0.795738045738046,0.186590436590437,1.86515470536591,"Subject_11119.txt","A+V+"
"1321","meta_d",2.96642545129991,2.21600130306614,3.66196141201129,1.9732485685889,0.214431070105765,0.840512820512821,0.21985446985447,1.50332071616362,"Subject_11119.txt","A-V+"
"1322","meta_d",2.58594585407606,1.96032870930736,3.23204972712547,1.58572305113826,0.465300035493964,0.731288981288981,0.191773504273504,1.63076765026517,"Subject_11119.txt","A+V-"
"1323","meta_d",2.29691090139792,1.66063657094746,2.88751467173527,1.72204826258313,0.590382491515729,0.693846153846154,0.187179487179487,1.33382492889745,"Subject_11119.txt","A-V-"
"1324","meta_d",1.30794297231387,0.703447907185822,1.91374232934053,1.47380645956322,-0.138087504365913,0.717105263157895,0.330985915492958,0.887459112305354,"Subject_11120.txt","A+V+"
"1325","meta_d",2.01233154110116,1.34484561140961,2.68043061226171,1.90976856698667,-0.108359894204036,0.776080084299262,0.256585879873551,1.0537043995212,"Subject_11120.txt","A-V+"
"1326","meta_d",1.53406763196589,0.938085192712214,2.09562917514695,1.24816591693042,-0.0609338200098916,0.68974358974359,0.323589743589744,1.22905746035637,"Subject_11120.txt","A+V-"
"1327","meta_d",1.4985859277982,0.891703379674326,2.06716078778608,1.22517126869165,-0.175655700151658,0.689636752136752,0.324844074844075,1.2231644392041,"Subject_11120.txt","A-V-"
"1328","meta_d",1.8275062659737,1.23121980567854,2.41422317257291,1.25544777006651,-0.0360277035927788,0.722339304531085,0.346673596673597,1.45566092795472,"Subject_11121.txt","A+V+"
"1329","meta_d",1.27813426414162,0.632023413284207,1.88510422364781,1.96362366352441,0.106821097614683,0.737348178137652,0.26163967611336,0.650905918422046,"Subject_11121.txt","A-V+"
