"","SUBJ","meta_d_A-V-","meta_d_A-V+","meta_d_A+V-","meta_d_A+V+","d_A-V-","d_A-V+","d_A+V-","d_A+V+","criterion_A-V-","criterion_A-V+","criterion_A+V-","criterion_A+V+","mratio_A-V-","mratio_A-V+","mratio_A+V-","mratio_A+V+","Confidence.mean_A-V-","Confidence.mean_A-V+","Confidence.mean_A+V-","Confidence.mean_A+V+","RT.median_A-V-","RT.median_A-V+","RT.median_A+V-","RT.median_A+V+","Confidence_RT.median_A-V-","Confidence_RT.median_A-V+","Confidence_RT.median_A+V-","Confidence_RT.median_A+V+","Accuracy_in_percent_A-V-","Accuracy_in_percent_A-V+","Accuracy_in_percent_A+V-","Accuracy_in_percent_A+V+","Handedness_R_1_A-V-","Handedness_R_1_A-V+","Handedness_R_1_A+V-","Handedness_R_1_A+V+","Total_Accepted_Trials_A-V-","Total_Accepted_Trials_A-V+","Total_Accepted_Trials_A+V-","Total_Accepted_Trials_A+V+","Gender_M_1_A-V-","Gender_M_1_A-V+","Gender_M_1_A+V-","Gender_M_1_A+V+","Accuracy.mean_A-V-","Accuracy.mean_A-V+","Accuracy.mean_A+V-","Accuracy.mean_A+V+"
"1","Subject_11114.txt",1.51858094304775,1.80341662339434,1.20288599184068,1.23706889087421,1.10031962308034,1.59323741152846,1.89179016275682,1.18429586860352,0.258138422457209,0.100111284185212,0.0587485223595338,0.23447519383796,1.38012711142649,1.13191958106498,0.635845357229141,1.04456067412691,3.33561643835616,4.05594405594406,3.31468531468531,3.64233576642336,1.58078391857271,1.49064637141419,1.53685439366382,1.58115717186593,0.943,1.06,0.969,1.06,0.722627737226277,0.79020979020979,0.832167832167832,0.705479452054795,1,1,1,1,137,143,143,146,1,1,1,1,0.705479452054795,0.79020979020979,0.832167832167832,0.722627737226277
"2","Subject_11115.txt",1.00284661805325,1.46860371915305,0.74539175111938,1.50431184660828,0.960112286499233,1.16085505393106,1.04853712560023,1.20838894726361,0.152494653174449,0.181763591818918,0.160748215674986,0.354251667378982,1.0445097226178,1.26510516035559,0.710887323796648,1.24489043864129,3.30821917808219,3.47552447552448,3.1156462585034,3.55405405405405,1.82149011961883,1.63015136087779,1.7650595761661,1.72189837243059,1.115,1.188,1.092,1.14,0.716216216216216,0.72027972027972,0.700680272108844,0.684931506849315,0,0,0,0,148,143,147,146,0,0,0,0,0.684931506849315,0.72027972027972,0.700680272108844,0.716216216216216
"3","Subject_11116.txt",1.42971413230988,2.01884442869994,1.49778505746655,1.53481718313544,1.24685828239955,1.43097664127954,1.43447281368514,1.64243054822628,0.407377338702516,0.493501732931151,0.433112973533438,0.444878665604466,1.14665327446711,1.41081578165717,1.04413624516087,0.934479199009627,3.86666666666667,5.05442176870748,4.82666666666667,4.71917808219178,1.25228924275143,1.13176362798549,1.26779712997086,1.35320840448549,1.176,1.21,1.259,1.143,0.773972602739726,0.741496598639456,0.746666666666667,0.72,1,1,1,1,146,147,150,150,0,0,0,0,0.72,0.741496598639456,0.746666666666667,0.773972602739726
"4","Subject_11117.txt",1.0820327408569,1.2329391750908,0.633228303479999,0.767367201290847,1.16839445087514,1.14136460702527,1.34205939693334,1.21277946440218,0.13345301282221,0.275842085776664,0.194648485989707,0.37999641148917,0.926085141919709,1.0802325282402,0.47183329212325,0.632734329542022,2.69503546099291,2.86428571428571,3.02777777777778,2.98529411764706,1.63714668474859,1.43362463220546,1.41909599292558,1.60212104626407,1.076,1.101,1.101,1.056,0.720588235294118,0.714285714285714,0.75,0.723404255319149,1,1,1,1,136,140,144,141,0,0,0,0,0.723404255319149,0.714285714285714,0.75,0.720588235294118
"5","Subject_11118.txt",1.6569994380962,2.60974440159625,1.68029794014589,2.0366007860468,1.56674321544354,1.32772217557729,1.32402906455313,1.63016478413997,0.296947733093184,0.358380299689249,0.126226802220921,0.161153928220787,1.05760754012718,1.96558018657897,1.26907934661767,1.24932203533108,3.52027027027027,4.26351351351351,3.52739726027397,4.22666666666667,1.35372111258039,1.34122955768544,1.45848274695163,1.31159353340627,1.21,1.301,1.1435,1.2595,0.793333333333333,0.736486486486487,0.746575342465753,0.777027027027027,1,1,1,1,150,148,146,148,0,0,0,0,0.777027027027027,0.736486486486487,0.746575342465753,0.793333333333333
"6","Subject_11119.txt",2.29691090139792,2.96642545129991,2.58594585407606,3.11168467922085,1.72204826258313,1.9732485685889,1.58572305113826,1.66832524415737,0.590382491515729,0.214431070105765,0.465300035493964,0.0719715032942369,1.33382492889745,1.50332071616362,1.63076765026517,1.86515470536591,4.27027027027027,5.02721088435374,4.53472222222222,4.95890410958904,0.962976864393568,0.860575211117975,0.954023436512216,0.852715237400844,1.1755,1.277,1.226,1.3425,0.801369863013699,0.836734693877551,0.763888888888889,0.77027027027027,1,1,1,1,146,147,144,148,0,0,0,0,0.77027027027027,0.836734693877551,0.763888888888889,0.801369863013699
"7","Subject_11120.txt",1.4985859277982,2.01233154110116,1.53406763196589,1.30794297231387,1.22517126869165,1.90976856698667,1.24816591693042,1.47380645956322,-0.175655700151658,-0.108359894204036,-0.0609338200098916,-0.138087504365913,1.2231644392041,1.0537043995212,1.22905746035637,0.887459112305354,4.02083333333333,4.36805555555556,4.02702702702703,4.09655172413793,1.51859175642312,1.29389436890779,1.46061947497947,1.46252134937095,1.201,1.243,1.26,1.259,0.772413793103448,0.833333333333333,0.736486486486487,0.729166666666667,1,1,1,1,145,144,148,144,0,0,0,0,0.729166666666667,0.833333333333333,0.736486486486487,0.772413793103448
"8","Subject_11121.txt",2.03618377762098,1.27813426414162,1.74125803090754,1.8275062659737,1.66072092716293,1.96362366352441,1.26960378043665,1.25544777006651,-0.249958877233493,0.106821097614683,0.060538344396203,-0.0360277035927788,1.2260842531198,0.650905918422046,1.37149720073192,1.45566092795472,4.58904109589041,4.5,4.18666666666667,3.70344827586207,1.54943813159889,1.52893809133798,1.67222167151249,1.62910846920022,1.1655,1.258,1.1265,1.26,0.737931034482759,0.84,0.74,0.794520547945205,1,1,1,1,145,150,150,146,1,1,1,1,0.794520547945205,0.84,0.74,0.737931034482759
"9","Subject_11122.txt",1.99289466311247,1.81355790054542,2.10921129564794,1.66658778539217,1.18787262238315,1.46844072981943,1.39561596331475,1.51245366222523,-0.0196727653694524,0.131457819546659,-0.0841989050963441,0.193077692657295,1.67770064362141,1.23502288088156,1.51131210239121,1.10190998046193,4.11333333333333,4.85810810810811,4.53333333333333,4.5958904109589,1.37156417869255,1.37741735759209,1.42576611344498,1.29570671709666,1.3915,1.5085,1.4085,1.4345,0.773972602739726,0.77027027027027,0.76,0.726666666666667,1,1,1,1,146,148,150,150,0,0,0,0,0.726666666666667,0.77027027027027,0.76,0.773972602739726
"10","Subject_11123.txt",1.27389081074604,2.07186846723117,1.56712015200444,1.48495634171844,0.935019304144487,1.17437150611171,1.28009625670404,1.46898874434038,0.0305797178780753,0.337242946803033,0.141958758401699,0.415855008205816,1.36242193620977,1.76423598192622,1.22422055669425,1.01086978878469,4.23648648648649,4.37333333333333,4.54,4.28,1.08912820660953,1.13160918710582,1.07075207036996,1.12535628986916,1.21,1.1595,1.185,1.227,0.753333333333333,0.713333333333333,0.74,0.682432432432432,1,1,1,1,150,150,150,148,0,0,0,0,0.682432432432432,0.713333333333333,0.74,0.753333333333333
