word,n,A_slider.response_mean,A_slider.response_raw,A_slider.rt_mean,A_slider.rt_raw,A_slider.rt_std,A_slider.started_mean,A_slider.started_raw,A_slider.started_std,A_slider.stopped_raw,ArousalGuide.started_mean,ArousalGuide.started_raw,ArousalGuide.started_std,ArousalGuide.stopped_raw,V_slider.response_mean,V_slider.response_raw,V_slider.rt_mean,V_slider.rt_raw,V_slider.rt_std,V_slider.started_mean,V_slider.started_raw,V_slider.started_std,V_slider.stopped_raw,ValenceImage.started_mean,ValenceImage.started_raw,ValenceImage.started_std,ValenceImage.stopped_raw,WordPresentation.started_mean,WordPresentation.started_raw,WordPresentation.started_std,WordPresentation.stopped_raw,WordPresentation2.started_mean,WordPresentation2.started_raw,WordPresentation2.started_std,WordPresentation2.stopped_raw,text_2.started_mean,text_2.started_raw,text_2.started_std,text_2.stopped_raw,text_3.started_mean,text_3.started_raw,text_3.started_std,text_3.stopped_raw,order
bastard,1.0,6.822222222222222,6.822222222222222,0.5924145579338074,0.5924145579338074,0.0,22.377357482910156,22.377357482910156,0.0,,22.377357482910156,22.377357482910156,0.0,,7.435555555555556,7.435555555555556,0.5632553696632385,0.5632553696632385,0.0,22.979297637939453,22.979297637939453,0.0,,22.979297637939453,22.979297637939453,0.0,,22.377357482910156,22.377357482910156,0.0,,22.979297637939453,22.979297637939453,0.0,,22.979297637939453,22.979297637939453,0.0,,22.377357482910156,22.377357482910156,0.0,,1.0
run,1.0,5.0088888888888885,5.0088888888888885,1.5078119039535522,1.5078119039535522,0.0,19.63775062561035,19.63775062561035,0.0,,19.63775062561035,19.63775062561035,0.0,,6.048888888888889,6.048888888888889,1.1797181367874146,1.1797181367874146,0.0,21.174087524414062,21.174087524414062,0.0,,21.174087524414062,21.174087524414062,0.0,,19.63775062561035,19.63775062561035,0.0,,21.174087524414062,21.174087524414062,0.0,,21.174087524414062,21.174087524414062,0.0,,19.63775062561035,19.63775062561035,0.0,,0.0
jump,1.0,2.973333333333333,2.973333333333333,0.7946987748146057,0.7946987748146057,0.0,25.00152015686035,25.00152015686035,0.0,,25.00152015686035,25.00152015686035,0.0,,2.1644444444444444,2.1644444444444444,0.5804380774497986,0.5804380774497986,0.0,25.803165435791016,25.803165435791016,0.0,,25.803165435791016,25.803165435791016,0.0,,25.00152015686035,25.00152015686035,0.0,,25.803165435791016,25.803165435791016,0.0,,25.803165435791016,25.803165435791016,0.0,,25.00152015686035,25.00152015686035,0.0,,3.0
funny,1.0,8.057777777777778,8.057777777777778,0.7613130807876587,0.7613130807876587,0.0,23.580610275268555,23.580610275268555,0.0,,23.580610275268555,23.580610275268555,0.0,,8.306666666666667,8.306666666666667,0.6116360425949097,0.6116360425949097,0.0,24.366107940673828,24.366107940673828,0.0,,24.366107940673828,24.366107940673828,0.0,,23.580610275268555,23.580610275268555,0.0,,24.366107940673828,24.366107940673828,0.0,,24.366107940673828,24.366107940673828,0.0,,23.580610275268555,23.580610275268555,0.0,,2.0

extraInfo
ParticipantID,555
Age,23
Gender(M/F),M
date,2019_Oct_21_1131
expName,SurveyExpMetaMem
psychopyVersion,3.2.3
frameRate,59.6989431248589
