"","SUBJ","meta_d_A-V-","meta_d_A-V+","meta_d_A+V-","meta_d_A+V+","lower_A-V-","lower_A-V+","lower_A+V-","lower_A+V+","upper_A-V-","upper_A-V+","upper_A+V-","upper_A+V+","d_A-V-","d_A-V+","d_A+V-","d_A+V+","criterion_A-V-","criterion_A-V+","criterion_A+V-","criterion_A+V+","mratio_A-V-","mratio_A-V+","mratio_A+V-","mratio_A+V+","Confidencemean_A-V-","Confidencemean_A-V+","Confidencemean_A+V-","Confidencemean_A+V+","RTmean_A-V-","RTmean_A-V+","RTmean_A+V-","RTmean_A+V+","Accuracymean_A-V-","Accuracymean_A-V+","Accuracymean_A+V-","Accuracymean_A+V+"
"1","Subject_11113.txt",0.966795874215194,1.50894963216945,1.2401469442978,1.76945803019324,0.378811994473358,0.874112016461037,0.650150641266294,1.17210884769881,1.59464748682698,2.1012491176775,1.83834876609633,2.38446195022214,1.09439636363196,1.39546018261224,1.07094475647559,1.10779637078802,0.0398924229888892,0.300471080846769,0.163810924145426,0.143914863206674,0.883405598138774,1.08132761577243,1.15799338555897,1.5972773307919,3.38518518518519,3.78030303030303,3.29770992366412,3.96212121212121,1.83902336431546,1.71545297372028,1.95509828113171,1.76977368073527,0.711111111111111,0.75,0.702290076335878,0.712121212121212
"2","Subject_11114.txt",1.54893183986036,1.81728177233928,1.2478655888071,1.23277359691619,0.938564546244956,1.15155237820282,0.583812189878786,0.624633556110478,2.12669958251001,2.43522782638896,1.89668136650823,1.83051040154749,1.12693759796175,1.61187250942183,1.8687657767672,1.23184485569687,0.244829435016502,0.109428833131898,0.0878584990942971,0.230601961440867,1.37446105504142,1.127435179716,0.667748523822928,1.0007539433355,3.37162162162162,4.08275862068966,3.32876712328767,3.63829787234043,1.60584910167086,1.5633784401074,1.63534810756511,1.63760836156587,0.709459459459459,0.793103448275862,0.828767123287671,0.730496453900709
"3","Subject_11115.txt",0.997969830696609,1.4482352463956,0.748848813022398,1.51140888386563,0.407243968498442,0.875499688354258,0.139261880228698,0.872153082173016,1.55609351543324,2.04602475659552,1.30163680842369,2.07314776405975,0.984040232480712,1.18664768246567,1.04853712560023,1.20838894726361,0.151325289152561,0.168867277551615,0.160748215674986,0.354251667378982,1.01415551697595,1.22044248498964,0.714184357176406,1.25076357847216,3.31756756756757,3.46896551724138,3.1156462585034,3.55405405405405,1.81282236173531,1.66003930114153,1.77122005351703,1.73277147826357,0.689189189189189,0.724137931034483,0.700680272108844,0.716216216216216
"4","Subject_11116.txt",1.43172555981983,2.03974078977839,1.48576905155821,1.53232788615795,0.848676470779906,1.47165290070329,0.913225005601442,0.921540791860658,1.96808335573462,2.6378397225355,2.08485152211343,2.13307182065491,1.24685828239955,1.41088353271277,1.43447281368514,1.62742840190636,0.407377338702516,0.503548287214535,0.433112973533438,0.460174953198297,1.14826647104153,1.44571875883794,1.03575964450751,0.941563932620937,3.86666666666667,5.02702702702703,4.82666666666667,4.69594594594595,1.27548693245335,1.22233544628594,1.27752631110585,1.43255692526637,0.72,0.736486486486487,0.746666666666667,0.77027027027027
"5","Subject_11117.txt",1.05606631545009,1.23574399462286,0.707052677256247,0.792331639115152,0.443092970520495,0.659636863262513,0.119569716380189,0.208893228844875,1.63303837154399,1.81016689058065,1.30819457309092,1.37347388691276,1.21436168468113,1.14249206328065,1.26563382555185,1.10423377321253,0.130799629863603,0.284945416892132,0.232861271680451,0.344613103343177,0.869647263061823,1.08162151347857,0.558655009831104,0.717539762264321,2.67586206896552,2.87412587412587,2.99319727891156,3.02083333333333,1.67158465722439,1.50627771958809,1.45614624637429,1.67930577797779,0.731034482758621,0.713286713286713,0.73469387755102,0.701388888888889
"6","Subject_11118.txt",1.62857944976447,2.60635868617915,1.7087836104521,2.04439086317299,1.00415996849453,1.96119452588382,1.0827205563762,1.348188663028,2.22625694401155,3.18687014181963,2.28921603235256,2.65609087623728,1.57505680400548,1.34088075144227,1.29797884884009,1.63016478413997,0.30110452737415,0.35180101175676,0.113201694364404,0.161153928220787,1.03398140665332,1.94376620245738,1.31649572870861,1.25410074065093,3.50335570469799,4.2751677852349,3.53378378378378,4.22666666666667,1.41553692741205,1.37238443594335,1.45568636003638,1.35847292397637,0.778523489932886,0.738255033557047,0.743243243243243,0.793333333333333
"7","Subject_11119.txt",2.31179164568253,2.99473214230931,2.54681532323632,3.13016454716463,1.66423663345438,2.31540145017865,1.93756547836852,2.48137968106706,2.8967169024913,3.67103621707153,3.19485545116963,3.79533197455411,1.72901796683488,1.98118326775961,1.60911305561977,1.67755620662726,0.593867343641604,0.218398419691118,0.476995037734717,0.0765869845291824,1.33705472703356,1.51158764110494,1.58274480114474,1.86590740435329,4.28859060402685,5.04054054054054,4.53741496598639,4.97278911564626,0.9913962690932,0.916137754944675,0.941806398811837,0.877077086502567,0.771812080536913,0.837837837837838,0.768707482993197,0.802721088435374
"8","Subject_11120.txt",1.49485655970852,2.03287179577957,1.5034306031942,1.28308568813554,0.921178533222776,1.38633925992485,0.925883360456848,0.660794782021081,2.10937796009767,2.72317493318278,2.09292513049094,1.8816263849502,1.23529695728111,1.93651078934741,1.25848937306985,1.49652740345549,-0.180718544446387,-0.112063946141251,-0.0660955480796055,-0.126727032419779,1.21011919514374,1.04976011854012,1.1946311469654,0.857375337847401,4.01379310344828,4.40136054421769,4.01342281879195,4.10204081632653,1.55957644495989,1.33995752922555,1.48287102083001,1.54049225763412,0.731034482758621,0.836734693877551,0.738255033557047,0.775510204081633
"9","Subject_11121.txt",2.02905991622122,1.26980446392732,1.75440349632342,1.82928248879412,1.40889362390217,0.565204669585111,1.18721727236956,1.23702577909392,2.62694823956007,1.9194286314445,2.35229623725687,2.43966765241573,1.67201552225543,1.96362366352441,1.26960378043665,1.26618593163656,-0.244311579687239,0.106821097614683,0.060538344396203,-0.0413967843778018,1.21354131538453,0.646663863099009,1.38185119118031,1.44471869658965,4.57823129251701,4.5,4.18666666666667,3.70547945205479,1.58780286310764,1.61587695195893,1.73417891782199,1.70196040516781,0.795918367346939,0.84,0.74,0.73972602739726
"10","Subject_11122.txt",1.99303424468948,1.81916473574553,2.10111933475086,1.66987004716044,1.40929476273968,1.24210269213768,1.47591122528034,1.02886003272332,2.56431626184834,2.46496589960635,2.68964080175522,2.28822366449456,1.18787262238315,1.4399417302785,1.39561596331475,1.52356806959203,-0.0196727653694524,0.145707319317126,-0.0841989050963441,0.187520488973893,1.67781814913032,1.26335996623536,1.50551397374422,1.09602588849711,4.11333333333333,4.84563758389262,4.53333333333333,4.60544217687075,1.42367141826759,1.42041335540318,1.45175743363291,1.33928892311641,0.726666666666667,0.76510067114094,0.76,0.775510204081633
