Mratio	 d1	 Arousal	 Valence	 LearningTime
11124	 0.80	 1.86	 Low	 High	 30
11124	 0.89	 2.52	 Low	 High	 60
11124	 0.73	 2.47	 Low	 High	 90
11124	 0.70	 1.88	 Low	 Low	 30
11124	 0.76	 2.21	 Low	 Low	 60
11124	 1.38	 2.25	 Low	 Low	 90
11125	 1.68	 0.66	 High	 High	 30
11125	 0.61	 1.48	 High	 High	 60
11125	 0.84	 2.08	 High	 High	 90
11125	 1.54	 0.33	 High	 Low	 30
11125	 1.39	 0.92	 High	 Low	 60
11125	 1.81	 1.66	 High	 Low	 90
11125	 0.71	 1.66	 Low	 High	 30
11125	 1.61	 1.78	 Low	 High	 60
11125	 1.15	 1.62	 Low	 High	 90
11125	 1.24	 0.69	 Low	 Low	 30
11125	 1.02	 1.21	 Low	 Low	 60
11125	 0.46	 1.78	 Low	 Low	 90
11126	 -13.38	 -0.09	 High	 High	 30
11126	 0.80	 1.30	 High	 High	 60
11126	 1.96	 1.32	 High	 High	 90
11126	 0.76	 0.63	 High	 Low	 30
11126	 1.40	 1.01	 High	 Low	 60
11126	 1.10	 2.00	 High	 Low	 90
11126	 0.52	 1.06	 Low	 High	 30
11126	 2.30	 0.66	 Low	 High	 60
11126	 1.09	 2.36	 Low	 High	 90
11126	 1.93	 0.21	 Low	 Low	 30
11126	 0.91	 1.88	 Low	 Low	 60
11126	 1.52	 1.74	 Low	 Low	 90
11127	 1.82	 0.50	 High	 High	 30
11127	 1.64	 1.59	 High	 High	 60
11127	 0.95	 3.59	 High	 High	 90
11127	 2.01	 0.85	 High	 Low	 30
11127	 0.90	 2.35	 High	 Low	 60
11127	 0.92	 3.32	 High	 Low	 90
11127	 1.95	 0.35	 Low	 High	 30
11127	 1.31	 1.12	 Low	 High	 60
11127	 1.43	 2.35	 Low	 High	 90
11127	 1.68	 0.39	 Low	 Low	 30
11127	 0.57	 2.08	 Low	 Low	 60
11127	 0.86	 3.15	 Low	 Low	 90
11128	 1.48	 0.25	 High	 High	 30
11128	 0.54	 1.18	 High	 High	 60
11128	 1.22	 1.38	 High	 High	 90
11128	 0.41	 1.24	 High	 Low	 30
11128	 0.89	 1.06	 High	 Low	 60
11128	 0.63	 1.70	 High	 Low	 90
11128	 -0.11	 1.69	 Low	 High	 30
11128	 0.10	 1.97	 Low	 High	 60
11128	 0.32	 0.94	 Low	 High	 90
11128	 1.30	 0.37	 Low	 Low	 30
11128	 1.49	 0.68	 Low	 Low	 60
11128	 0.71	 1.15	 Low	 Low	 90
11129	 0.69	 1.50	 High	 High	 30
11129	 1.03	 1.26	 High	 High	 60
11129	 1.24	 1.60	 High	 High	 90
11129	 1.17	 0.69	 High	 Low	 30
11129	 0.33	 1.88	 High	 Low	 60
11129	 0.86	 1.91	 High	 Low	 90
11129	 0.96	 0.82	 Low	 High	 30
11129	 0.36	 1.36	 Low	 High	 60
11129	 1.01	 1.23	 Low	 High	 90
11129	 -11.50	 -0.10	 Low	 Low	 30
11129	 1.52	 0.79	 Low	 Low	 60
11129	 0.71	 1.62	 Low	 Low	 90
11130	 0.61	 1.06	 High	 High	 30
11130	 1.69	 1.86	 High	 High	 60
11130	 1.14	 2.52	 High	 High	 90
11130	 1.19	 0.59	 High	 Low	 30
11130	 1.15	 2.61	 High	 Low	 60
11130	 1.82	 2.88	 High	 Low	 90
11130	 0.82	 1.50	 Low	 High	 30
11130	 0.95	 3.15	 Low	 High	 60
11130	 0.50	 1.59	 Low	 High	 90
11130	 0.85	 1.55	 Low	 Low	 30
11130	 0.83	 1.48	 Low	 Low	 60
11130	 1.10	 2.25	 Low	 Low	 90
11131	 1.09	 0.90	 High	 High	 30
11131	 0.36	 1.74	 High	 High	 60
11131	 1.12	 1.43	 High	 High	 90
11131	 0.32	 1.40	 High	 Low	 30
11131	 0.98	 1.29	 High	 Low	 60
11131	 1.52	 1.36	 High	 Low	 90
11131	 -4.63	 -0.27	 Low	 High	 30
11131	 2.82	 0.48	 Low	 High	 60
11131	 1.55	 1.00	 Low	 High	 90
11131	 0.86	 0.63	 Low	 Low	 30
11131	 1.59	 1.06	 Low	 Low	 60
11131	 0.55	 1.11	 Low	 Low	 90
11132	 1.06	 1.13	 High	 High	 30
11132	 1.23	 1.31	 High	 High	 60
11132	 1.31	 1.48	 High	 High	 90
11132	 1.21	 0.92	 High	 Low	 30
11132	 0.96	 1.86	 High	 Low	 60
11132	 1.75	 1.72	 High	 Low	 90
11132	 0.75	 0.84	 Low	 High	 30
11132	 1.05	 1.18	 Low	 High	 60
11132	 1.72	 1.74	 Low	 High	 90
11132	 0.51	 1.55	 Low	 Low	 30
11132	 1.25	 1.35	 Low	 Low	 60
11132	 2.47	 1.29	 Low	 Low	 90
11133	 0.75	 1.15	 High	 High	 30
11133	 0.85	 2.25	 High	 High	 60
11133	 1.36	 2.22	 High	 High	 90
11133	 1.02	 1.69	 High	 Low	 30
11133	 0.91	 2.10	 High	 Low	 60
11133	 0.73	 2.41	 High	 Low	 90
11133	 1.18	 0.80	 Low	 High	 30
11133	 0.75	 1.74	 Low	 High	 60
11133	 1.37	 1.86	 Low	 High	 90
11133	 0.70	 1.23	 Low	 Low	 30
11133	 1.05	 1.66	 Low	 Low	 60
11133	 1.60	 1.48	 Low	 Low	 90
11134	 1.78	 1.20	 High	 High	 30
11134	 1.57	 1.75	 High	 High	 60
11134	 0.92	 2.38	 High	 High	 90
11134	 1.25	 1.57	 High	 Low	 30
11134	 1.43	 2.05	 High	 Low	 60
11134	 1.22	 2.87	 High	 Low	 90
11134	 1.34	 1.62	 Low	 High	 30
11134	 0.74	 2.10	 Low	 High	 60
11134	 1.37	 1.91	 Low	 High	 90
11134	 1.46	 0.67	 Low	 Low	 30
11134	 0.82	 2.38	 Low	 Low	 60
11134	 1.63	 2.02	 Low	 Low	 90
11135	 1.48	 0.79	 High	 High	 30
11135	 0.82	 2.52	 High	 High	 60
11135	 0.81	 1.72	 High	 High	 90
11135	 1.43	 0.72	 High	 Low	 30
11135	 0.91	 2.61	 High	 Low	 60
11135	 1.16	 1.83	 High	 Low	 90
11135	 1.05	 1.05	 Low	 High	 30
11135	 0.53	 1.40	 Low	 High	 60
11135	 0.62	 1.84	 Low	 High	 90
11135	 0.56	 1.09	 Low	 Low	 30
11135	 1.27	 1.60	 Low	 Low	 60
11135	 0.66	 1.60	 Low	 Low	 90
11136	 3.21	 0.14	 High	 High	 30
11136	 5.25	 0.30	 High	 High	 60
11136	 1.38	 1.48	 High	 High	 90
11136	 1.33	 0.79	 High	 Low	 30
11136	 0.86	 1.59	 High	 Low	 60
11136	 0.77	 2.23	 High	 Low	 90
11136	 0.47	 0.59	 Low	 High	 30
11136	 1.93	 1.25	 Low	 High	 60
11136	 0.99	 1.57	 Low	 High	 90
11136	 0.75	 1.04	 Low	 Low	 30
11136	 0.76	 1.56	 Low	 Low	 60
11136	 1.24	 1.35	 Low	 Low	 90
11137	 1.31	 0.41	 High	 High	 30
11137	 0.39	 3.01	 High	 High	 60
11137	 0.24	 2.21	 High	 High	 90
11137	 1.00	 0.95	 High	 Low	 30
11137	 0.70	 2.20	 High	 Low	 60
11137	 1.47	 1.19	 High	 Low	 90
11137	 0.52	 0.55	 Low	 High	 30
11137	 0.40	 2.05	 Low	 High	 60
11137	 0.77	 1.15	 Low	 High	 90
11137	 1.44	 0.39	 Low	 Low	 30
11137	 -0.05	 1.73	 Low	 Low	 60
11137	 0.79	 1.36	 Low	 Low	 90
11138	 5.66	 0.17	 High	 High	 30
11138	 -0.29	 -0.15	 High	 High	 60
11138	 1.14	 1.30	 High	 High	 90
11138	 1.65	 0.51	 High	 Low	 30
11138	 2.61	 0.65	 High	 Low	 60
11138	 0.28	 1.80	 High	 Low	 90
11138	 3.58	 0.21	 Low	 High	 30
11138	 1.25	 1.45	 Low	 High	 60
11138	 0.79	 1.47	 Low	 High	 90
11138	 0.93	 0.55	 Low	 Low	 30
11138	 4.65	 0.27	 Low	 Low	 60
11138	 6.03	 0.30	 Low	 Low	 90
11139	 1.60	 0.96	 High	 High	 30
11139	 0.51	 2.25	 High	 High	 60
11139	 1.15	 1.78	 High	 High	 90
11139	 0.39	 1.55	 High	 Low	 30
11139	 1.20	 1.66	 High	 Low	 60
11139	 1.80	 1.71	 High	 Low	 90
11139	 -0.06	 1.15	 Low	 High	 30
11139	 0.50	 1.09	 Low	 High	 60
11139	 0.74	 2.13	 Low	 High	 90
11139	 0.77	 1.23	 Low	 Low	 30
11139	 1.52	 1.25	 Low	 Low	 60
11139	 1.82	 0.89	 Low	 Low	 90
11140	 2.33	 0.59	 High	 High	 30
11140	 1.08	 1.38	 High	 High	 60
11140	 0.48	 2.20	 High	 High	 90
11140	 0.25	 1.48	 High	 Low	 30
11140	 0.94	 0.92	 High	 Low	 60
11140	 0.93	 1.35	 High	 Low	 90
11140	 0.77	 0.59	 Low	 High	 30
11140	 0.42	 2.02	 Low	 High	 60
11140	 1.05	 0.96	 Low	 High	 90
11140	 0.38	 1.74	 Low	 Low	 30
11140	 0.37	 1.33	 Low	 Low	 60
11140	 1.11	 1.40	 Low	 Low	 90
43336	 0.23	 0.10	 High	 High	 30
43336	 0.73	 1.30	 High	 High	 60
43336	 1.17	 1.57	 High	 High	 90
43336	 1.02	 0.49	 High	 Low	 30
43336	 0.50	 1.59	 High	 Low	 60
43336	 0.85	 1.59	 High	 Low	 90
43336	 1.09	 0.87	 Low	 High	 30
43336	 1.15	 1.36	 Low	 High	 60
43336	 2.78	 0.20	 Low	 High	 90
43336	 0.56	 1.16	 Low	 Low	 30
43336	 2.70	 0.41	 Low	 Low	 60
43336	 0.36	 1.88	 Low	 Low	 90
47203	 1.05	 1.06	 High	 High	 30
47203	 0.79	 1.15	 High	 High	 60
47203	 0.40	 2.02	 High	 High	 90
47203	 1.16	 0.76	 High	 Low	 30
47203	 0.89	 1.60	 High	 Low	 60
47203	 0.86	 2.31	 High	 Low	 90
47203	 0.98	 1.29	 Low	 High	 30
47203	 0.75	 1.55	 Low	 High	 60
47203	 0.40	 1.35	 Low	 High	 90
47203	 2.19	 0.63	 Low	 Low	 30
47203	 0.70	 1.65	 Low	 Low	 60
47203	 1.84	 0.75	 Low	 Low	 90
47284	 0.67	 1.17	 High	 High	 30
47284	 1.30	 1.60	 High	 High	 60
47284	 1.35	 1.60	 High	 High	 90
47284	 0.47	 1.74	 High	 Low	 30
47284	 0.97	 1.36	 High	 Low	 60
47284	 1.82	 1.09	 High	 Low	 90
47284	 0.97	 1.59	 Low	 High	 30
47284	 0.99	 1.88	 Low	 High	 60
47284	 0.82	 1.50	 Low	 High	 90
47284	 1.25	 1.36	 Low	 Low	 30
47284	 1.90	 1.23	 Low	 Low	 60
47284	 1.34	 1.55	 Low	 Low	 90
47542	 2.48	 0.85	 High	 High	 30
47542	 1.61	 1.40	 High	 High	 60
47542	 1.45	 1.93	 High	 High	 90
47542	 1.05	 1.02	 High	 Low	 30
47542	 0.96	 1.16	 High	 Low	 60
47542	 1.09	 1.72	 High	 Low	 90
47542	 2.55	 0.80	 Low	 High	 30
47542	 1.89	 1.13	 Low	 High	 60
47542	 1.72	 1.74	 Low	 High	 90
47542	 2.69	 0.72	 Low	 Low	 30
47542	 2.45	 0.92	 Low	 Low	 60
47542	 1.31	 2.09	 Low	 Low	 90
47617	 0.83	 1.98	 High	 High	 30
47617	 1.23	 1.78	 High	 High	 60
47617	 0.69	 3.17	 High	 High	 90
47617	 1.07	 2.25	 High	 Low	 30
47617	 1.06	 1.62	 High	 Low	 60
47617	 1.60	 1.59	 High	 Low	 90
47617	 1.22	 1.29	 Low	 High	 30
47617	 0.89	 1.88	 Low	 High	 60
47617	 0.68	 2.88	 Low	 High	 90
47617	 1.07	 1.36	 Low	 Low	 30
47617	 0.46	 2.88	 Low	 Low	 60
47617	 0.96	 2.38	 Low	 Low	 90
