,Unnamed: 0,Accuracy,Arousal,Confidence,Confidence_RT,Expected,KeyPressed,LearningTime,LeftWord,MarkerStart,RT,RightWord,TrialNumber,Valence,nBlock,Subject
54,54,True,High,7.0,1.0759999999999998,right,right,60.0,night,6.0,1.0107471862575041,alcohol,4.0,High,1.0,0
55,55,True,High,7.0,0.693,right,right,60.0,drunk,6.0,1.3801262548076922,rare,5.0,High,1.0,0
56,56,True,High,7.0,1.442,right,right,60.0,chest,1.0,1.7316927949141243,spice,6.0,High,1.0,0
57,57,True,High,5.0,1.693,left,left,60.0,important,1.0,1.3086425971123392,duet,7.0,High,1.0,0
58,58,True,High,7.0,1.176,left,left,60.0,boost,3.0,1.3543963341217022,extreme,8.0,High,1.0,0
59,59,True,High,7.0,1.227,left,left,60.0,sports,3.0,0.6047768052376341,try,9.0,High,1.0,0
60,60,True,High,7.0,1.06,left,left,60.0,bikini,4.0,0.7409120014635846,cheerleader,10.0,High,1.0,0
61,61,True,High,7.0,1.276,left,left,60.0,zoom,3.0,0.7521840196859557,astonished,11.0,High,1.0,0
62,62,True,High,4.0,1.492,right,right,60.0,mountain,2.0,1.7771574893849902,interested,12.0,High,1.0,0
63,63,True,High,1.0,1.8430000000000002,right,right,60.0,mingle,2.0,1.244122587406309,clothes,13.0,High,1.0,0
64,64,False,High,2.0,1.092,left,right,60.0,brain,1.0,1.8159527112147769,attain,14.0,High,1.0,0
65,65,False,High,3.0,1.305,left,right,60.0,restaurant,2.0,2.384616519761039,curiosity,15.0,High,1.0,0
66,66,True,High,7.0,1.527,right,right,60.0,sing,1.0,1.3535677026666235,zest,16.0,High,1.0,0
67,67,False,High,2.0,1.421,left,right,60.0,penthouse,2.0,2.354915391711984,outgoing,17.0,High,1.0,0
68,68,True,High,7.0,1.244,right,right,60.0,mail,3.0,1.1903603504179046,perfect,18.0,High,1.0,0
69,69,True,High,7.0,1.26,left,left,60.0,special,2.0,1.03599173357361,firefighter,19.0,High,1.0,0
70,70,True,High,3.0,1.504,right,right,60.0,climax,2.0,2.3337495203886647,cartoon,20.0,High,1.0,0
71,71,True,High,5.0,2.125,left,left,60.0,spirit,6.0,1.6831214543490205,game,21.0,High,1.0,0
72,72,False,High,1.0,1.288,left,right,60.0,attract,4.0,2.3947663727740296,doughnut,22.0,High,1.0,0
73,73,,High,,,left,,60.0,rhythm,,,earn,23.0,High,1.0,0
74,74,False,High,3.0,1.639,right,left,60.0,model,2.0,2.2295046047947835,explore,24.0,High,1.0,0
75,75,False,High,2.0,1.091,right,left,60.0,charisma,4.0,2.020351996732643,actor,25.0,High,1.0,0
76,76,True,High,7.0,1.06,left,left,60.0,midnight,3.0,1.2745269133592956,inspired,26.0,High,1.0,0
77,77,,High,,,right,,60.0,gourmet,,,adore,27.0,High,1.0,0
78,78,False,High,5.0,1.588,right,left,60.0,energy,1.0,2.4396629269758705,energetic,28.0,High,1.0,0
79,79,False,High,2.0,1.374,right,left,60.0,life,6.0,2.045732243277598,dazzle,29.0,High,1.0,0
80,80,True,High,7.0,2.041,right,right,60.0,impressed,6.0,1.890294714336051,wonderful,30.0,High,1.0,0
81,81,True,High,2.0,1.3090000000000002,right,right,60.0,brownie,2.0,1.3632713201805018,best,31.0,High,1.0,0
82,82,False,High,6.0,1.6769999999999998,right,left,60.0,festival,4.0,1.1269843204936478,stunning,32.0,High,1.0,0
83,83,True,High,7.0,0.71,left,left,60.0,appreciative,6.0,0.8365026427782141,sister,33.0,High,1.0,0
84,84,False,High,3.0,1.325,right,left,60.0,personality,3.0,1.7541527813009452,eat,34.0,High,1.0,0
85,85,,High,,,right,,60.0,bright,,,like,35.0,High,1.0,0
86,86,True,High,7.0,0.953,right,right,60.0,puppy,4.0,2.59936263068812,talent,36.0,High,1.0,0
87,87,,High,,,left,,60.0,cookie,,,magnificence,37.0,High,1.0,0
88,88,False,High,1.0,2.292,left,right,60.0,ambitious,3.0,1.7923779380507767,cheeseburger,38.0,High,1.0,0
89,89,,High,,,right,,60.0,birth,,,cruiseship,39.0,High,1.0,0
90,90,True,High,3.0,1.359,right,right,60.0,kissing,1.0,1.0502587588562164,satisfaction,40.0,High,1.0,0
91,91,False,High,1.0,1.125,left,right,60.0,pretty,2.0,1.7931963038572576,progress,41.0,High,1.0,0
92,92,True,High,2.0,1.72,left,left,60.0,justice,3.0,2.6314354476053268,accomplish,42.0,High,1.0,0
93,93,True,High,1.0,2.59,right,right,60.0,diamond,5.0,2.073275657428894,smiling,43.0,High,1.0,0
94,94,True,High,4.0,1.155,left,left,60.0,engaged,6.0,2.205304909439292,diploma,44.0,High,1.0,0
95,95,True,High,2.0,1.6580000000000001,left,left,60.0,giggle,5.0,1.8279285689641256,sex,45.0,High,1.0,0
96,96,True,High,6.0,1.3940000000000001,right,right,60.0,god,2.0,1.3459185009123755,joke,46.0,High,1.0,0
97,97,False,High,3.0,0.972,left,right,60.0,enthusiastic,2.0,2.3761377241462474,enjoy,47.0,High,1.0,0
98,98,False,High,2.0,1.119,left,right,60.0,affection,3.0,2.8742549374583177,excellence,48.0,High,1.0,0
99,99,True,High,4.0,1.955,left,left,60.0,funny,6.0,2.3805218036286533,ecstatic,49.0,High,1.0,0
100,100,True,Low,7.0,0.9790000000000001,left,left,90.0,mane,5.0,1.1082267094752751,vegetable,0.0,High,2.0,0
101,101,True,Low,2.0,0.857,right,right,90.0,easel,4.0,1.7815839147369843,carrot,1.0,High,2.0,0
102,102,True,Low,7.0,0.843,right,right,90.0,coat,5.0,1.3094160506152548,cup,2.0,High,2.0,0
103,103,True,Low,3.0,1.093,left,left,90.0,suburban,5.0,1.6592201048042623,chew,3.0,High,2.0,0
