,Subject,Valence,Arousal,Confidence,RT,Accuracy,MetadPrime,dPrime,HR,FAR,Mratio,Reject
0,11113,High,High,3.962121212121212,1.7952162333531305,0.7121212121212122,1.77291016038168,1.10779637078802,0.6392773892773891,0.27884615384615397,1.60039354445668,0
1,11113,High,Low,3.7803030303030303,1.6582568969315616,0.75,1.5172629278363001,1.39546018261224,0.656674208144796,0.286130536130536,1.08728500228223,0
2,11113,Low,High,3.2977099236641223,1.9268664578557944,0.7022900763358778,1.25333387731192,1.07094475647559,0.631549609810479,0.3515625,1.17030674993598,0
3,11113,Low,Low,3.3851851851851853,1.842308516526828,0.7111111111111111,0.9711652375283821,1.09439636363196,0.6492537313432839,0.38296703296703294,0.887398085192265,0
4,11114,High,High,3.6382978723404253,1.5818286107969468,0.7304964539007093,1.24173341930293,1.2318448556968702,0.6401098901098901,0.313487881981033,1.00802744238475,0
5,11114,High,Low,4.069444444444445,1.4892098193522543,0.7916666666666666,1.83016289255357,1.6026415469519402,0.725961538461538,0.27286902286902304,1.14196645908397,0
6,11114,Low,High,3.3472222222222223,1.5367326492414577,0.8333333333333334,1.21288931745385,1.9085286237436203,0.707799145299145,0.327962577962578,0.6355101528814089,0
7,11114,Low,Low,3.360544217687075,1.575480256869923,0.7074829931972789,1.5344287455390901,1.11377902209678,0.645641025641026,0.323804573804574,1.37767790117865,0
8,11115,High,High,3.554054054054054,1.7218983724305872,0.7162162162162162,1.4996154682510803,1.20838894726361,0.6260121457489879,0.284303534303534,1.24100395956696,0
9,11115,High,Low,3.4689655172413794,1.6301513608777896,0.7241379310344828,1.44834708472644,1.18664768246567,0.672813487881981,0.343555093555094,1.2205367322818201,0
10,11115,Low,High,3.1156462585034013,1.7650595761660952,0.7006802721088435,0.7490753546666329,1.04853712560023,0.603430353430353,0.37589743589743607,0.7144004121340258,0
11,11115,Low,Low,3.3175675675675675,1.811334325248026,0.6891891891891891,1.0028179519021299,0.984040232480712,0.6394871794871789,0.38820512820512804,1.01908226798216,0
12,11116,High,High,4.72108843537415,1.362867751304293,0.7687074829931972,1.55051020288665,1.61458398123927,0.6712820512820511,0.209459459459459,0.9603156112675899,0
