word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,introText.started,introText.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,InstructValenceText.started,InstructValenceText.stopped,Valence.started,Valence.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,InstructArousalText.started,InstructArousalText.stopped,Arousal.started,Arousal.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,WordPresentation.started,WordPresentation.stopped,rating_3.response,rating_3.rt,rating_3.started,rating_3.stopped,ArousalGuide.started,ArousalGuide.stopped,WordPresentation2.started,WordPresentation2.stopped,ValenceImage.started,ValenceImage.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,GoodbyeText.started,GoodbyeText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,10.519222135000746,None,0.021111111111111112,0.027777777777777776,1,0,0,0.0032321221806341782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2019_Sep_27_1027,SurveyExpMetaMem,3.2.3,59.297982684647,
,,,,,,,,,,,,,,11.371438546004356,None,11.371438546004356,None,0.021111111111111112,0.027777777777777776,1,0,0,0.013401648902799934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2019_Sep_27_1027,SurveyExpMetaMem,3.2.3,59.297982684647,
,,,,,,,,,,,,,,,,,,,,,,,,,12.156582853000145,None,12.156582853000145,None,0.021111111111111112,0.027777777777777776,1,0,0,0.015465616903384216,None,,,,,,,,,,,,,,,,,,,015,001,2019_Sep_27_1027,SurveyExpMetaMem,3.2.3,59.297982684647,
jump,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.276488888004678,None,5,1.828,0.003195823810528964,None,13.276488888004678,None,15.132245199012686,None,15.132245199012686,None,5,1.819,0.008476369883283041,None,,,015,001,2019_Sep_27_1027,SurveyExpMetaMem,3.2.3,59.297982684647,
funny,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.96980398800224,None,5,1.316,0.0045080498966854066,None,16.96980398800224,None,18.306392067010165,None,18.306392067010165,None,5,1.026,0.0006064369081286713,None,,,015,001,2019_Sep_27_1027,SurveyExpMetaMem,3.2.3,59.297982684647,
bastard,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.359348179001245,None,7,1.122,0.014328232820844278,None,19.359348179001245,None,20.512644046000787,None,20.512644046000787,None,5,1.358,8.787489787209779e-05,None,,,015,001,2019_Sep_27_1027,SurveyExpMetaMem,3.2.3,59.297982684647,
run,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.899934094006312,None,4,0.825,0.001430976903066039,None,21.899934094006312,None,22.751315843008342,None,22.751315843008342,None,3,1.092,0.0012031149090034887,None,,,015,001,2019_Sep_27_1027,SurveyExpMetaMem,3.2.3,59.297982684647,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.854001135012368,None,,,,,,,
