word,n,A_key_resp.keys_raw,A_key_resp.rt_mean,A_key_resp.rt_raw,A_key_resp.rt_std,A_key_resp.started_mean,A_key_resp.started_raw,A_key_resp.stopped_raw,ArousalGuide.started_mean,ArousalGuide.started_raw,ArousalGuide.started_std,ArousalGuide.stopped_raw,ValenceImage.started_mean,ValenceImage.started_raw,ValenceImage.started_std,ValenceImage.stopped_raw,WordPresentation.started_mean,WordPresentation.started_raw,WordPresentation.started_std,WordPresentation.stopped_raw,WordPresentation2.started_mean,WordPresentation2.started_raw,WordPresentation2.started_std,WordPresentation2.stopped_raw,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,key_resp.started_mean,key_resp.started_raw,key_resp.stopped_raw,text_2.started_mean,text_2.started_raw,text_2.started_std,text_2.stopped_raw,text_3.started_mean,text_3.started_raw,text_3.started_std,text_3.stopped_raw,order
bastard,1.0,'7',6.609776973724365,6.609776973724365,0.0,0.004397586002596654,0.004397586002596654,,28.341270446777344,28.341270446777344,0.0,,34.97588348388672,34.97588348388672,0.0,,28.341270446777344,28.341270446777344,0.0,,34.97588348388672,34.97588348388672,0.0,,'1',2.6738264560699463,2.6738264560699463,0.0,0.008933239496400347,0.008933239496400347,,34.97588348388672,34.97588348388672,0.0,,28.341270446777344,28.341270446777344,0.0,,0.0
run,1.0,'7',1.349788784980774,1.349788784980774,0.0,0.007054150497424416,0.007054150497424416,,37.66583251953125,37.66583251953125,0.0,,39.019344329833984,39.019344329833984,0.0,,37.66583251953125,37.66583251953125,0.0,,39.019344329833984,39.019344329833984,0.0,,'7',0.9451341032981873,0.9451341032981873,0.0,0.01027303949376801,0.01027303949376801,,39.019344329833984,39.019344329833984,0.0,,37.66583251953125,37.66583251953125,0.0,,1.0
jump,1.0,'7',1.1266677379608154,1.1266677379608154,0.0,0.00694628749624826,0.00694628749624826,,39.98847198486328,39.98847198486328,0.0,,41.14207458496094,41.14207458496094,0.0,,39.98847198486328,39.98847198486328,0.0,,41.14207458496094,41.14207458496094,0.0,,'7',2.067969799041748,2.067969799041748,0.0,0.008008509499632055,0.008008509499632055,,41.14207458496094,41.14207458496094,0.0,,39.98847198486328,39.98847198486328,0.0,,2.0
funny,1.0,'7',0.9721199870109558,0.9721199870109558,0.0,0.007804805500200018,0.007804805500200018,,43.24533462524414,43.24533462524414,0.0,,44.216796875,44.216796875,0.0,,43.24533462524414,43.24533462524414,0.0,,44.216796875,44.216796875,0.0,,'7',3.348714828491211,3.348714828491211,0.0,0.00811942549989908,0.00811942549989908,,44.216796875,44.216796875,0.0,,43.24533462524414,43.24533462524414,0.0,,3.0

extraInfo
ParticipantID,1234
Age,22
Gender(M/F),M
date,2019_Oct_21_1417
expName,SurveyExpMetaMem
psychopyVersion,3.2.3
frameRate,59.86746695767336
