word,n,A_slider.response_mean,A_slider.response_raw,A_slider.rt_mean,A_slider.rt_raw,A_slider.rt_std,A_slider.started_mean,A_slider.started_raw,A_slider.started_std,A_slider.stopped_raw,ArousalGuide.started_mean,ArousalGuide.started_raw,ArousalGuide.started_std,ArousalGuide.stopped_raw,V_slider.response_mean,V_slider.response_raw,V_slider.rt_mean,V_slider.rt_raw,V_slider.rt_std,V_slider.started_mean,V_slider.started_raw,V_slider.started_std,V_slider.stopped_raw,ValenceImage.started_mean,ValenceImage.started_raw,ValenceImage.started_std,ValenceImage.stopped_raw,WordPresentation.started_mean,WordPresentation.started_raw,WordPresentation.started_std,WordPresentation.stopped_raw,WordPresentation2.started_mean,WordPresentation2.started_raw,WordPresentation2.started_std,WordPresentation2.stopped_raw,text_2.started_mean,text_2.started_raw,text_2.started_std,text_2.stopped_raw,text_3.started_mean,text_3.started_raw,text_3.started_std,text_3.stopped_raw,order
bastard,1.0,6.568,6.568,1.0300432443618774,1.0300432443618774,0.0,44.62205505371094,44.62205505371094,0.0,,44.62205505371094,44.62205505371094,0.0,,6.480888888888889,6.480888888888889,0.49678951501846313,0.49678951501846313,0.0,45.67584228515625,45.67584228515625,0.0,,45.67584228515625,45.67584228515625,0.0,,44.62205505371094,44.62205505371094,0.0,,45.67584228515625,45.67584228515625,0.0,,45.67584228515625,45.67584228515625,0.0,,44.62205505371094,44.62205505371094,0.0,,0.0
run,1.0,6.480888888888889,6.480888888888889,0.10929075628519058,0.10929075628519058,0.0,46.54425048828125,46.54425048828125,0.0,,46.54425048828125,46.54425048828125,0.0,,6.480888888888889,6.480888888888889,0.1093561202287674,0.1093561202287674,0.0,46.67792892456055,46.67792892456055,0.0,,46.67792892456055,46.67792892456055,0.0,,46.54425048828125,46.54425048828125,0.0,,46.67792892456055,46.67792892456055,0.0,,46.67792892456055,46.67792892456055,0.0,,46.54425048828125,46.54425048828125,0.0,,2.0
jump,1.0,6.480888888888889,6.480888888888889,0.07311435788869858,0.07311435788869858,0.0,46.81128692626953,46.81128692626953,0.0,,46.81128692626953,46.81128692626953,0.0,,6.480888888888889,6.480888888888889,0.37491801381111145,0.37491801381111145,0.0,46.91218185424805,46.91218185424805,0.0,,46.91218185424805,46.91218185424805,0.0,,46.81128692626953,46.81128692626953,0.0,,46.91218185424805,46.91218185424805,0.0,,46.91218185424805,46.91218185424805,0.0,,46.81128692626953,46.81128692626953,0.0,,3.0
funny,1.0,6.480888888888889,6.480888888888889,0.1734648048877716,0.1734648048877716,0.0,46.19338607788086,46.19338607788086,0.0,,46.19338607788086,46.19338607788086,0.0,,6.480888888888889,6.480888888888889,0.12961013615131378,0.12961013615131378,0.0,46.37727737426758,46.37727737426758,0.0,,46.37727737426758,46.37727737426758,0.0,,46.19338607788086,46.19338607788086,0.0,,46.37727737426758,46.37727737426758,0.0,,46.37727737426758,46.37727737426758,0.0,,46.19338607788086,46.19338607788086,0.0,,1.0

extraInfo
ParticipantID,34
Age,23
Gender(M/F),M
date,2019_Oct_21_1141
expName,SurveyExpMetaMem
psychopyVersion,3.2.3
frameRate,59.32445217426187
