mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,A_key_resp.keys,A_key_resp.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,word,ParticipantID,date,expName,psychopyVersion,OS,frameRate
0.147222238,-0.207407418,1,0,0,0.441666686,-0.191666733,1,0,0,0.458333353,-0.217592603,1,0,0,0.458333353,-0.217592603,1,0,0,3,3.440999746,6,2.786999702,1,0,1200,819,1,1199,sheep,47203,2019-10-26_22h12.45.853,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,8.136999846,7,3.473999739,1,0,1200,242,1,1199,triumph,47203,2019-10-26_22h12.45.853,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,4,7.950999737,3,4.025999784,1,0,1200,951,1,1199,castrate,47203,2019-10-26_22h12.45.853,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,5,7.632999897,5,6.500999689,1,0,1200,1192,1,1199,startled,47203,2019-10-26_22h12.45.853,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,3,2.389999866,5,4.664999723,1,0,1200,669,1,1199,plaza,47203,2019-10-26_22h12.45.853,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,3.981999874,4,5.010999918,1,0,1200,1190,1,1199,clench,47203,2019-10-26_22h12.45.853,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,2,3.69299984,6,2.045999765,1,0,1200,729,1,1199,velvet,47203,2019-10-26_22h12.45.853,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,4.904999971,3,3.453999758,1,0,1200,306,1,1199,gloom,47203,2019-10-26_22h12.45.853,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,3,2.246000051,5,4.402999878,1,0,1200,785,1,1199,pond,47203,2019-10-26_22h12.45.853,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,5.341999769,3,2.20299983,1,0,1200,1026,1,1199,crisis,47203,2019-10-26_22h12.45.853,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,3,5.037999868,6,2.506999731,1,0,1200,724,1,1199,owl,47203,2019-10-26_22h12.45.853,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,4,8.70299983,3,2.082999706,1,0,1200,1003,1,1199,jealousy,47203,2019-10-26_22h12.45.853,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,2,14.39599991,4,6.376999855,1,0,1200,649,1,1199,donkey,47203,2019-10-26_22h12.45.853,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,6,5.055999756,3,1.587999821,1,0,1200,959,1,1199,divorce,47203,2019-10-26_22h12.45.853,SurveyExpMetaMem,3.2.3,Win32,60
,,,,,,,,,,,,,,,,,,,,3,2.172999859,5,1.472999811,1,0,1200,167,1,1199,casino,47203,2019-10-26_22h12.45.853,SurveyExpMetaMem,3.2.3,Win32,60
