word,n,A_slider.response_mean,A_slider.response_raw,A_slider.rt_mean,A_slider.rt_raw,A_slider.rt_std,A_slider.started_mean,A_slider.started_raw,A_slider.started_std,A_slider.stopped_raw,ArousalGuide.started_mean,ArousalGuide.started_raw,ArousalGuide.started_std,ArousalGuide.stopped_raw,V_slider.response_mean,V_slider.response_raw,V_slider.rt_mean,V_slider.rt_raw,V_slider.rt_std,V_slider.started_mean,V_slider.started_raw,V_slider.started_std,V_slider.stopped_raw,ValenceImage.started_mean,ValenceImage.started_raw,ValenceImage.started_std,ValenceImage.stopped_raw,WordPresentation.started_mean,WordPresentation.started_raw,WordPresentation.started_std,WordPresentation.stopped_raw,WordPresentation2.started_mean,WordPresentation2.started_raw,WordPresentation2.started_std,WordPresentation2.stopped_raw,text_2.started_mean,text_2.started_raw,text_2.started_std,text_2.stopped_raw,text_3.started_mean,text_3.started_raw,text_3.started_std,text_3.stopped_raw,order
bastard,1.0,6.598222222222223,6.598222222222223,0.6114957928657532,0.6114957928657532,0.0,29.23331069946289,29.23331069946289,0.0,,29.23331069946289,29.23331069946289,0.0,,6.598222222222223,6.598222222222223,0.4249286651611328,0.4249286651611328,0.0,29.86891746520996,29.86891746520996,0.0,,29.86891746520996,29.86891746520996,0.0,,29.23331069946289,29.23331069946289,0.0,,29.86891746520996,29.86891746520996,0.0,,29.86891746520996,29.86891746520996,0.0,,29.23331069946289,29.23331069946289,0.0,,3.0
run,1.0,6.553777777777778,6.553777777777778,0.7293140888214111,0.7293140888214111,0.0,26.108444213867188,26.108444213867188,0.0,,26.108444213867188,26.108444213867188,0.0,,6.598222222222223,6.598222222222223,2.352055311203003,2.352055311203003,0.0,26.843290328979492,26.843290328979492,0.0,,26.843290328979492,26.843290328979492,0.0,,26.108444213867188,26.108444213867188,0.0,,26.843290328979492,26.843290328979492,0.0,,26.843290328979492,26.843290328979492,0.0,,26.108444213867188,26.108444213867188,0.0,,2.0
jump,1.0,5.961777777777778,5.961777777777778,1.680128574371338,1.680128574371338,0.0,20.226411819458008,20.226411819458008,0.0,,20.226411819458008,20.226411819458008,0.0,,6.598222222222223,6.598222222222223,4.155324459075928,4.155324459075928,0.0,21.93064308166504,21.93064308166504,0.0,,21.93064308166504,21.93064308166504,0.0,,20.226411819458008,20.226411819458008,0.0,,21.93064308166504,21.93064308166504,0.0,,21.93064308166504,21.93064308166504,0.0,,20.226411819458008,20.226411819458008,0.0,,1.0
funny,1.0,6.516444444444445,6.516444444444445,0.060541845858097076,0.060541845858097076,0.0,17.15085220336914,17.15085220336914,0.0,,17.15085220336914,17.15085220336914,0.0,,6.594666666666667,6.594666666666667,2.9692394733428955,2.9692394733428955,0.0,17.234697341918945,17.234697341918945,0.0,,17.234697341918945,17.234697341918945,0.0,,17.15085220336914,17.15085220336914,0.0,,17.234697341918945,17.234697341918945,0.0,,17.234697341918945,17.234697341918945,0.0,,17.15085220336914,17.15085220336914,0.0,,0.0

extraInfo
ParticipantID,67
Age,23
Gender(M/F),M
date,2019_Oct_21_1139
expName,SurveyExpMetaMem
psychopyVersion,3.2.3
frameRate,59.705157543488326
