mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,A_key_resp.keys,A_key_resp.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,word,ParticipantID,date,expName,psychopyVersion,OS,frameRate
0.00732135,-0.101167744,1,0,0,0.142265625,-0.071831597,1,0,0,-0.035386285,0.155190972,1,0,0,-0.030525174,0.140260417,1,0,0,5,11.19200015,5,8.427999973,1,0,1200,265,1,1199,invent,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,5,9.128000021,5,4.40899992,1,0,1200,585,1,1199,tatter,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,6,8.02300024,3,4.266000032,1,0,1200,327,1,1199,misfortune,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,3,5.924000025,5,3.460999966,1,0,1200,539,1,1199,novice,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,1,4.127000093,6,2.262000084,1,0,1200,815,1,1199,apple,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,5,2.713999987,5,0.500999928,1,0,1200,263,1,1199,answer,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,6,3.659000158,6,4.461000204,1,0,1200,190,1,1199,rescue,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,5,4.312000275,5,0.342999935,1,0,1200,1190,1,1199,clench,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,8,5.55700016,2,2.443000078,1,0,1200,1017,1,1199,aggravated,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,6,6.144000053,6,3.927000046,1,0,1200,845,1,1199,honey,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,4,4.981000185,6,1.749000311,1,0,1200,706,1,1199,cat,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,5,1.563000202,5,0.376000166,1,0,1200,785,1,1199,pond,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,6,4.627000093,3,1.09800005,1,0,1200,928,1,1199,cruel,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,8,4.525000095,8,2.911000252,1,0,1200,242,1,1199,triumph,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,2,3.891000032,7,3.084000111,1,0,1200,810,1,1199,polite,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,8,2.24000001,8,3.642000198,1,0,1200,28,1,1199,energy,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,2,4.309000015,8,2.360000134,1,0,1200,703,1,1199,book,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,4,8.02699995,4,2.244999886,1,0,1200,1109,1,1199,germ,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,7,2.792999983,2,2.875,1,0,1200,1095,1,1199,fright,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,5,3.411999941,5,0.258000135,1,0,1200,1160,1,1199,enlist,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,1,1.993999958,9,2.055999994,1,0,1200,899,1,1199,relax,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,6,5.204999924,2,2.641000271,1,0,1200,452,1,1199,scapegoat,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
,,,,,,,,,,,,,,,,,,,,5,1.991000175,5,0.198000193,1,0,1200,859,1,1199,serene,11136,2019-10-22_09h37.24.233,SurveyExpMetaMem,3.2.3,MacIntel,60
